Sigma, Type, M, Participant, Graph Type, Error, Error (unsigned), Index, Filepath, isValidation
0.05,line,-0.8,P3,line,0.01,0.01,0,img/line/line/s0.05m-0.8/,0
0.05,quad,0.2,P3,area,0,0,1,img/quad/area/s0.05m0.2/,0
0.1,trig,-0.1,P3,area,0.13,0.13,2,img/trig/area/s0.1m-0.1/,0
0.05,quad,-0.1,P3,area,-0.03,0.03,3,img/quad/area/s0.05m-0.1/,0
0.1,line,0.1,P3,line,0.07,0.07,4,img/line/line/s0.1m0.1/,0
0.15,trig,0.2,P3,scatter,0.2,0.2,5,img/trig/scatter/s0.15m0.2/,0
0.2,line,-0.1,P3,area,-0.23,0.23,6,img/line/area/s0.2m-0.1/,0
0.2,quad,0.2,P3,scatter,0.03,0.03,7,img/quad/scatter/s0.2m0.2/,0
0.05,trig,0.1,P3,scatter,0,0,8,img/trig/scatter/s0.05m0.1/,0
0.05,quad,-0.1,P3,line,-0.02,0.02,9,img/quad/line/s0.05m-0.1/,0
0.05,line,0.1,P3,line,0.05,0.05,10,img/line/line/s0.05m0.1/,0
0.15,trig,0.4,P3,scatter,0.01,0.01,11,img/trig/scatter/s0.15m0.4/,0
0.2,line,-0.1,P3,line,-0.11,0.11,12,img/line/line/s0.2m-0.1/,0
0.1,quad,0.1,P3,area,0.15,0.15,13,img/quad/area/s0.1m0.1/,0
0.1,trig,-0.2,P3,area,0.02,0.02,14,img/trig/area/s0.1m-0.2/,0
0.2,quad,-0.4,P3,line,-0.04,0.04,15,img/quad/line/s0.2m-0.4/,0
0.2,line,-0.2,P3,line,-0.01,0.01,16,img/line/line/s0.2m-0.2/,0
0.05,trig,0.2,P3,scatter,-0.05,0.05,17,img/trig/scatter/s0.05m0.2/,0
0.1,line,-0.1,P3,line,0.02,0.02,18,img/line/line/s0.1m-0.1/,0
0.02,line,0.8,P3,area,0.1,0.1,19,img_validation/line/area/s0.2m0.8/,1
0.1,quad,0.2,P3,scatter,0.04,0.04,20,img/quad/scatter/s0.1m0.2/,0
0.2,trig,-0.8,P3,scatter,-0.18,0.18,21,img/trig/scatter/s0.2m-0.8/,0
0.15,quad,-0.8,P3,line,0,0,22,img/quad/line/s0.15m-0.8/,0
0.05,line,0.8,P3,scatter,0.03,0.03,23,img/line/scatter/s0.05m0.8/,0
0.05,trig,-0.8,P3,area,0.01,0.01,24,img/trig/area/s0.05m-0.8/,0
0.15,line,-0.8,P3,area,0.08,0.08,25,img/line/area/s0.15m-0.8/,0
0.1,quad,0.8,P3,scatter,0.13,0.13,26,img/quad/scatter/s0.1m0.8/,0
0.05,trig,0.8,P3,line,0.06,0.06,27,img/trig/line/s0.05m0.8/,0
0.1,quad,0.2,P3,area,0.04,0.04,28,img/quad/area/s0.1m0.2/,0
0.2,line,-0.8,P3,area,-0.16,0.16,29,img/line/area/s0.2m-0.8/,0
0.1,trig,0.8,P3,area,0.05,0.05,30,img/trig/area/s0.1m0.8/,0
0.1,line,-0.2,P3,line,-0.04,0.04,31,img/line/line/s0.1m-0.2/,0
0.15,quad,-0.1,P3,area,0.06,0.06,32,img/quad/area/s0.15m-0.1/,0
0.2,trig,0.4,P3,scatter,0.14,0.14,33,img/trig/scatter/s0.2m0.4/,0
0.05,quad,0.2,P3,line,0.01,0.01,34,img/quad/line/s0.05m0.2/,0
0.15,line,-0.4,P3,area,-0.02,0.02,35,img/line/area/s0.15m-0.4/,0
0.1,trig,0.4,P3,area,0.05,0.05,36,img/trig/area/s0.1m0.4/,0
0.1,line,0.4,P3,line,0,0,37,img/line/line/s0.1m0.4/,0
0.05,line,-0.2,P3,area,-0.06,0.06,38,img_validation/line/area/s0.05m-0.2/,1
0.15,quad,-0.8,P3,scatter,-0.16,0.16,39,img/quad/scatter/s0.15m-0.8/,0
0.05,trig,-0.4,P3,scatter,0,0,40,img/trig/scatter/s0.05m-0.4/,0
0.2,quad,-0.2,P3,area,-0.02,0.02,41,img/quad/area/s0.2m-0.2/,0
0.2,line,0.8,P3,scatter,0.04,0.04,42,img/line/scatter/s0.2m0.8/,0
0.15,trig,0.2,P3,area,0.01,0.01,43,img/trig/area/s0.15m0.2/,0
0.2,line,0.4,P3,line,0.11,0.11,44,img/line/line/s0.2m0.4/,0
0.15,quad,0.1,P3,line,0.08,0.08,45,img/quad/line/s0.15m0.1/,0
0.2,trig,0.8,P3,line,-0.04,0.04,46,img/trig/line/s0.2m0.8/,0
0.15,quad,0.4,P3,line,0.04,0.04,47,img/quad/line/s0.15m0.4/,0
0.05,line,-0.8,P3,scatter,-0.01,0.01,48,img/line/scatter/s0.05m-0.8/,0
0.05,trig,-0.4,P3,area,0,0,49,img/trig/area/s0.05m-0.4/,0
0.1,line,-0.2,P3,scatter,-0.04,0.04,50,img/line/scatter/s0.1m-0.2/,0
0.15,quad,0.8,P3,area,0.21,0.21,51,img/quad/area/s0.15m0.8/,0
0.2,trig,0.1,P3,line,0.09,0.09,52,img/trig/line/s0.2m0.1/,0
0.1,quad,-0.8,P3,scatter,-0.05,0.05,53,img/quad/scatter/s0.1m-0.8/,0
0.2,line,-0.8,P3,line,-0.05,0.05,54,img/line/line/s0.2m-0.8/,0
0.2,trig,0.1,P3,area,0.08,0.08,55,img/trig/area/s0.2m0.1/,0
0.05,line,-0.2,P3,area,-0.05,0.05,56,img/line/area/s0.05m-0.2/,0
0.02,line,0.8,P3,area,0.05,0.05,57,img_validation/line/area/s0.2m0.8/,1
0.2,quad,-0.2,P3,scatter,-0.21,0.21,58,img/quad/scatter/s0.2m-0.2/,0
0.1,trig,-0.4,P3,scatter,-0.03,0.03,59,img/trig/scatter/s0.1m-0.4/,0
0.2,quad,0.8,P3,area,0.07,0.07,60,img/quad/area/s0.2m0.8/,0
0.15,line,-0.2,P3,scatter,-0.16,0.16,61,img/line/scatter/s0.15m-0.2/,0
0.1,trig,-0.8,P3,line,-0.02,0.02,62,img/trig/line/s0.1m-0.8/,0
0.1,line,0.2,P3,line,0.02,0.02,63,img/line/line/s0.1m0.2/,0
0.1,quad,-0.8,P3,area,0,0,64,img/quad/area/s0.1m-0.8/,0
