Sigma, Type, M, Participant, Graph Type, Error, Error (unsigned), Index, Filepath, isValidation
0.05,quad,-0.8,P2,line,-0.01,0.01,0,img/quad/line/s0.05m-0.8/,0
0.05,trig,0.2,P2,area,-0.01,0.01,1,img/trig/area/s0.05m0.2/,0
0.1,line,-0.1,P2,area,0.07,0.07,2,img/line/area/s0.1m-0.1/,0
0.05,trig,-0.1,P2,area,0.04,0.04,3,img/trig/area/s0.05m-0.1/,0
0.1,quad,0.1,P2,line,-0.05,0.05,4,img/quad/line/s0.1m0.1/,0
0.15,line,0.2,P2,scatter,0.03,0.03,5,img/line/scatter/s0.15m0.2/,0
0.2,quad,-0.1,P2,area,-0.03,0.03,6,img/quad/area/s0.2m-0.1/,0
0.2,trig,0.2,P2,scatter,0.17,0.17,7,img/trig/scatter/s0.2m0.2/,0
0.05,line,0.1,P2,scatter,0.03,0.03,8,img/line/scatter/s0.05m0.1/,0
0.05,trig,-0.1,P2,line,-0.02,0.02,9,img/trig/line/s0.05m-0.1/,0
0.05,quad,0.1,P2,line,0.03,0.03,10,img/quad/line/s0.05m0.1/,0
0.15,line,0.4,P2,scatter,0.2,0.2,11,img/line/scatter/s0.15m0.4/,0
0.2,quad,-0.1,P2,line,-0.07,0.07,12,img/quad/line/s0.2m-0.1/,0
0.1,trig,0.1,P2,area,-0.02,0.02,13,img/trig/area/s0.1m0.1/,0
0.1,line,-0.2,P2,area,-0.04,0.04,14,img/line/area/s0.1m-0.2/,0
0.2,trig,-0.4,P2,line,-0.23,0.23,15,img/trig/line/s0.2m-0.4/,0
0.2,quad,-0.2,P2,line,-0.17,0.17,16,img/quad/line/s0.2m-0.2/,0
0.05,line,0.2,P2,scatter,0.03,0.03,17,img/line/scatter/s0.05m0.2/,0
0.1,quad,-0.1,P2,line,-0.08,0.08,18,img/quad/line/s0.1m-0.1/,0
0.02,line,0.8,P2,area,0,0,19,img_validation/line/area/s0.2m0.8/,1
0.1,trig,0.2,P2,scatter,0.04,0.04,20,img/trig/scatter/s0.1m0.2/,0
0.2,line,-0.8,P2,scatter,0.16,0.16,21,img/line/scatter/s0.2m-0.8/,0
0.15,trig,-0.8,P2,line,-0.16,0.16,22,img/trig/line/s0.15m-0.8/,0
0.05,quad,0.8,P2,scatter,0,0,23,img/quad/scatter/s0.05m0.8/,0
0.05,line,-0.8,P2,area,0.02,0.02,24,img/line/area/s0.05m-0.8/,0
0.15,quad,-0.8,P2,area,-0.01,0.01,25,img/quad/area/s0.15m-0.8/,0
0.1,trig,0.8,P2,scatter,0.03,0.03,26,img/trig/scatter/s0.1m0.8/,0
0.05,line,0.8,P2,line,-0.01,0.01,27,img/line/line/s0.05m0.8/,0
0.1,trig,0.2,P2,area,-0.08,0.08,28,img/trig/area/s0.1m0.2/,0
0.2,quad,-0.8,P2,area,-0.02,0.02,29,img/quad/area/s0.2m-0.8/,0
0.1,line,0.8,P2,area,0.03,0.03,30,img/line/area/s0.1m0.8/,0
0.1,quad,-0.2,P2,line,-0.02,0.02,31,img/quad/line/s0.1m-0.2/,0
0.15,trig,-0.1,P2,area,0.02,0.02,32,img/trig/area/s0.15m-0.1/,0
0.2,line,0.4,P2,scatter,0.18,0.18,33,img/line/scatter/s0.2m0.4/,0
0.05,trig,0.2,P2,line,0,0,34,img/trig/line/s0.05m0.2/,0
0.15,quad,-0.4,P2,area,0.09,0.09,35,img/quad/area/s0.15m-0.4/,0
0.1,line,0.4,P2,area,-0.02,0.02,36,img/line/area/s0.1m0.4/,0
0.1,quad,0.4,P2,line,-0.02,0.02,37,img/quad/line/s0.1m0.4/,0
0.01,line,-0.4,P2,area,0,0,38,img_validation/line/area/s0.1m-0.4/,1
0.15,trig,-0.8,P2,scatter,-0.21,0.21,39,img/trig/scatter/s0.15m-0.8/,0
0.05,line,-0.4,P2,scatter,-0.02,0.02,40,img/line/scatter/s0.05m-0.4/,0
0.2,trig,-0.2,P2,area,-0.12,0.12,41,img/trig/area/s0.2m-0.2/,0
0.2,quad,0.8,P2,scatter,-0.08,0.08,42,img/quad/scatter/s0.2m0.8/,0
0.15,line,0.2,P2,area,-0.08,0.08,43,img/line/area/s0.15m0.2/,0
0.2,quad,0.4,P2,line,0.03,0.03,44,img/quad/line/s0.2m0.4/,0
0.15,trig,0.1,P2,line,0.03,0.03,45,img/trig/line/s0.15m0.1/,0
0.2,line,0.8,P2,line,-0.11,0.11,46,img/line/line/s0.2m0.8/,0
0.15,trig,0.4,P2,line,-0.04,0.04,47,img/trig/line/s0.15m0.4/,0
0.05,quad,-0.8,P2,scatter,-0.02,0.02,48,img/quad/scatter/s0.05m-0.8/,0
0.05,line,-0.4,P2,area,-0.01,0.01,49,img/line/area/s0.05m-0.4/,0
0.1,quad,-0.2,P2,scatter,-0.16,0.16,50,img/quad/scatter/s0.1m-0.2/,0
0.15,trig,0.8,P2,area,0,0,51,img/trig/area/s0.15m0.8/,0
0.2,line,0.1,P2,line,-0.05,0.05,52,img/line/line/s0.2m0.1/,0
0.1,trig,-0.8,P2,scatter,-0.04,0.04,53,img/trig/scatter/s0.1m-0.8/,0
0.2,quad,-0.8,P2,line,-0.1,0.1,54,img/quad/line/s0.2m-0.8/,0
0.2,line,0.1,P2,area,-0.08,0.08,55,img/line/area/s0.2m0.1/,0
0.05,quad,-0.2,P2,area,-0.06,0.06,56,img/quad/area/s0.05m-0.2/,0
0.02,line,0.8,P2,area,0,0,57,img_validation/line/area/s0.2m0.8/,1
0.2,trig,-0.2,P2,scatter,-0.14,0.14,58,img/trig/scatter/s0.2m-0.2/,0
0.1,line,-0.4,P2,scatter,0.05,0.05,59,img/line/scatter/s0.1m-0.4/,0
0.2,trig,0.8,P2,area,-0.12,0.12,60,img/trig/area/s0.2m0.8/,0
0.15,quad,-0.2,P2,scatter,-0.06,0.06,61,img/quad/scatter/s0.15m-0.2/,0
0.1,line,-0.8,P2,line,0.02,0.02,62,img/line/line/s0.1m-0.8/,0
0.1,quad,0.2,P2,line,0.02,0.02,63,img/quad/line/s0.1m0.2/,0
0.1,trig,-0.8,P2,area,-0.03,0.03,64,img/trig/area/s0.1m-0.8/,0
0.05,line,-0.4,P2,line,-0.02,0.02,65,img/line/line/s0.05m-0.4/,0
0.05,trig,-0.1,P2,scatter,0.01,0.01,66,img/trig/scatter/s0.05m-0.1/,0
0.1,quad,-0.1,P2,scatter,-0.02,0.02,67,img/quad/scatter/s0.1m-0.1/,0
0.15,line,0.2,P2,line,0.01,0.01,68,img/line/line/s0.15m0.2/,0
0.05,quad,0.4,P2,area,0.01,0.01,69,img/quad/area/s0.05m0.4/,0
0.15,trig,0.8,P2,scatter,0.06,0.06,70,img/trig/scatter/s0.15m0.8/,0
0.1,line,-0.4,P2,line,0.04,0.04,71,img/line/line/s0.1m-0.4/,0
