Sigma, Type, M, Participant, Graph Type, Error, Error (unsigned), Index, Filepath, isValidation
0.05,trig,-0.4,P3,line,0,0,65,img/trig/line/s0.05m-0.4/,0
0.05,quad,-0.1,P3,scatter,0.01,0.01,66,img/quad/scatter/s0.05m-0.1/,0
0.1,line,-0.1,P3,scatter,0.01,0.01,67,img/line/scatter/s0.1m-0.1/,0
0.15,trig,0.2,P3,line,0.07,0.07,68,img/trig/line/s0.15m0.2/,0
0.05,line,0.4,P3,area,0.01,0.01,69,img/line/area/s0.05m0.4/,0
0.15,quad,0.8,P3,scatter,-0.06,0.06,70,img/quad/scatter/s0.15m0.8/,0
0.1,trig,-0.4,P3,line,-0.01,0.01,71,img/trig/line/s0.1m-0.4/,0
0.15,quad,-0.4,P3,line,0.05,0.05,72,img/quad/line/s0.15m-0.4/,0
0.1,line,-0.4,P3,area,-0.04,0.04,73,img/line/area/s0.1m-0.4/,0
0.2,trig,0.2,P3,area,0.03,0.03,74,img/trig/area/s0.2m0.2/,0
0.15,line,0.1,P3,area,0.03,0.03,75,img/line/area/s0.15m0.1/,0
0.01,line,-0.4,P3,area,0,0,76,img_validation/line/area/s0.1m-0.4/,1
0.2,quad,-0.4,P3,area,0.03,0.03,77,img/quad/area/s0.2m-0.4/,0
0.1,trig,0.8,P3,line,0.01,0.01,78,img/trig/line/s0.1m0.8/,0
0.15,quad,0.1,P3,scatter,0.02,0.02,79,img/quad/scatter/s0.15m0.1/,0
0.2,line,0.1,P3,scatter,-0.08,0.08,80,img/line/scatter/s0.2m0.1/,0
0.2,trig,-0.1,P3,scatter,0.05,0.05,81,img/trig/scatter/s0.2m-0.1/,0
0.05,line,-0.2,P3,scatter,-0.01,0.01,82,img/line/scatter/s0.05m-0.2/,0
0.15,quad,-0.1,P3,line,0,0,83,img/quad/line/s0.15m-0.1/,0
0.05,trig,0.4,P3,line,-0.02,0.02,84,img/trig/line/s0.05m0.4/,0
0.15,quad,-0.2,P3,area,0.03,0.03,85,img/quad/area/s0.15m-0.2/,0
0.05,line,-0.2,P3,line,-0.01,0.01,86,img/line/line/s0.05m-0.2/,0
0.05,trig,0.4,P3,scatter,0.01,0.01,87,img/trig/scatter/s0.05m0.4/,0
0.15,line,-0.1,P3,scatter,0.07,0.07,88,img/line/scatter/s0.15m-0.1/,0
0.15,quad,0.8,P3,line,-0.16,0.16,89,img/quad/line/s0.15m0.8/,0
0.1,trig,0.4,P3,scatter,-0.02,0.02,90,img/trig/scatter/s0.1m0.4/,0
0.15,quad,0.4,P3,area,-0.06,0.06,91,img/quad/area/s0.15m0.4/,0
0.05,line,0.8,P3,area,-0.01,0.01,92,img/line/area/s0.05m0.8/,0
0.15,trig,-0.4,P3,scatter,-0.03,0.03,93,img/trig/scatter/s0.15m-0.4/,0
0.2,line,0.4,P3,area,0,0,94,img/line/area/s0.2m0.4/,0
0.1,quad,0.1,P3,scatter,-0.01,0.01,95,img/quad/scatter/s0.1m0.1/,0
0.05,trig,0.1,P3,area,-0.02,0.02,96,img/trig/area/s0.05m0.1/,0
0.15,quad,-0.2,P3,line,0.11,0.11,97,img/quad/line/s0.15m-0.2/,0
0.2,line,0.2,P3,line,0.1,0.1,98,img/line/line/s0.2m0.2/,0
0.2,trig,-0.4,P3,scatter,0.07,0.07,99,img/trig/scatter/s0.2m-0.4/,0
