Sigma, Type, M, Participant, Graph Type, Error, Error (unsigned), Index, Filepath, isValidation
0.05,line,-0.8,P3,line,-0.01,0.01,0,img/line/line/s0.05m-0.8/,0
0.05,quad,0.2,P3,area,0,0,1,img/quad/area/s0.05m0.2/,0
0.1,trig,-0.1,P3,area,-0.02,0.02,2,img/trig/area/s0.1m-0.1/,0
0.05,quad,-0.1,P3,area,0.04,0.04,3,img/quad/area/s0.05m-0.1/,0
0.1,line,0.1,P3,line,-0.01,0.01,4,img/line/line/s0.1m0.1/,0
0.15,trig,0.2,P3,scatter,-0.08,0.08,5,img/trig/scatter/s0.15m0.2/,0
0.2,line,-0.1,P3,area,-0.04,0.04,6,img/line/area/s0.2m-0.1/,0
0.2,quad,0.2,P3,scatter,0,0,7,img/quad/scatter/s0.2m0.2/,0
0.05,trig,0.1,P3,scatter,0.01,0.01,8,img/trig/scatter/s0.05m0.1/,0
0.05,quad,-0.1,P3,line,-0.02,0.02,9,img/quad/line/s0.05m-0.1/,0
0.05,line,0.1,P3,line,-0.01,0.01,10,img/line/line/s0.05m0.1/,0
0.15,trig,0.4,P3,scatter,0.04,0.04,11,img/trig/scatter/s0.15m0.4/,0
0.2,line,-0.1,P3,line,0.03,0.03,12,img/line/line/s0.2m-0.1/,0
0.1,quad,0.1,P3,area,-0.04,0.04,13,img/quad/area/s0.1m0.1/,0
0.1,trig,-0.2,P3,area,0.05,0.05,14,img/trig/area/s0.1m-0.2/,0
0.2,quad,-0.4,P3,line,0.16,0.16,15,img/quad/line/s0.2m-0.4/,0
0.2,line,-0.2,P3,line,-0.04,0.04,16,img/line/line/s0.2m-0.2/,0
0.05,trig,0.2,P3,scatter,-0.02,0.02,17,img/trig/scatter/s0.05m0.2/,0
0.1,line,-0.1,P3,line,0.05,0.05,18,img/line/line/s0.1m-0.1/,0
0.05,line,-0.2,P3,area,0,0,19,img_validation/line/area/s0.05m-0.2/,1
0.1,quad,0.2,P3,scatter,0,0,20,img/quad/scatter/s0.1m0.2/,0
0.2,trig,-0.8,P3,scatter,0.18,0.18,21,img/trig/scatter/s0.2m-0.8/,0
0.15,quad,-0.8,P3,line,0.08,0.08,22,img/quad/line/s0.15m-0.8/,0
0.05,line,0.8,P3,scatter,0,0,23,img/line/scatter/s0.05m0.8/,0
0.05,trig,-0.8,P3,area,-0.03,0.03,24,img/trig/area/s0.05m-0.8/,0
0.15,line,-0.8,P3,area,0.01,0.01,25,img/line/area/s0.15m-0.8/,0
0.1,quad,0.8,P3,scatter,0.05,0.05,26,img/quad/scatter/s0.1m0.8/,0
0.05,trig,0.8,P3,line,0.02,0.02,27,img/trig/line/s0.05m0.8/,0
0.1,quad,0.2,P3,area,-0.05,0.05,28,img/quad/area/s0.1m0.2/,0
0.2,line,-0.8,P3,area,-0.07,0.07,29,img/line/area/s0.2m-0.8/,0
0.1,trig,0.8,P3,area,0.07,0.07,30,img/trig/area/s0.1m0.8/,0
0.1,line,-0.2,P3,line,0.16,0.16,31,img/line/line/s0.1m-0.2/,0
0.15,quad,-0.1,P3,area,0.06,0.06,32,img/quad/area/s0.15m-0.1/,0
0.2,trig,0.4,P3,scatter,-0.01,0.01,33,img/trig/scatter/s0.2m0.4/,0
0.05,quad,0.2,P3,line,-0.04,0.04,34,img/quad/line/s0.05m0.2/,0
0.15,line,-0.4,P3,area,0.16,0.16,35,img/line/area/s0.15m-0.4/,0
0.1,trig,0.4,P3,area,0.01,0.01,36,img/trig/area/s0.1m0.4/,0
0.1,line,0.4,P3,line,-0.02,0.02,37,img/line/line/s0.1m0.4/,0
0.05,line,-0.2,P3,area,0,0,38,img_validation/line/area/s0.05m-0.2/,1
0.15,quad,-0.8,P3,scatter,0.05,0.05,39,img/quad/scatter/s0.15m-0.8/,0
0.05,trig,-0.4,P3,scatter,0,0,40,img/trig/scatter/s0.05m-0.4/,0
0.2,quad,-0.2,P3,area,0.06,0.06,41,img/quad/area/s0.2m-0.2/,0
0.2,line,0.8,P3,scatter,0.05,0.05,42,img/line/scatter/s0.2m0.8/,0
0.15,trig,0.2,P3,area,0.01,0.01,43,img/trig/area/s0.15m0.2/,0
0.2,line,0.4,P3,line,0,0,44,img/line/line/s0.2m0.4/,0
0.15,quad,0.1,P3,line,0,0,45,img/quad/line/s0.15m0.1/,0
0.2,trig,0.8,P3,line,0.04,0.04,46,img/trig/line/s0.2m0.8/,0
0.15,quad,0.4,P3,line,-0.05,0.05,47,img/quad/line/s0.15m0.4/,0
0.05,line,-0.8,P3,scatter,0.05,0.05,48,img/line/scatter/s0.05m-0.8/,0
0.05,trig,-0.4,P3,area,-0.02,0.02,49,img/trig/area/s0.05m-0.4/,0
0.1,line,-0.2,P3,scatter,0.03,0.03,50,img/line/scatter/s0.1m-0.2/,0
0.15,quad,0.8,P3,area,0.08,0.08,51,img/quad/area/s0.15m0.8/,0
0.2,trig,0.1,P3,line,-0.06,0.06,52,img/trig/line/s0.2m0.1/,0
0.1,quad,-0.8,P3,scatter,0.01,0.01,53,img/quad/scatter/s0.1m-0.8/,0
0.2,line,-0.8,P3,line,0.14,0.14,54,img/line/line/s0.2m-0.8/,0
0.2,trig,0.1,P3,area,0.04,0.04,55,img/trig/area/s0.2m0.1/,0
0.05,line,-0.2,P3,area,0.01,0.01,56,img/line/area/s0.05m-0.2/,0
0.05,line,-0.2,P3,area,0,0,57,img_validation/line/area/s0.05m-0.2/,1
0.2,quad,-0.2,P3,scatter,0.02,0.02,58,img/quad/scatter/s0.2m-0.2/,0
0.1,trig,-0.4,P3,scatter,-0.03,0.03,59,img/trig/scatter/s0.1m-0.4/,0
0.2,quad,0.8,P3,area,0.03,0.03,60,img/quad/area/s0.2m0.8/,0
0.15,line,-0.2,P3,scatter,0.06,0.06,61,img/line/scatter/s0.15m-0.2/,0
0.1,trig,-0.8,P3,line,-0.05,0.05,62,img/trig/line/s0.1m-0.8/,0
0.1,line,0.2,P3,line,0.03,0.03,63,img/line/line/s0.1m0.2/,0
0.1,quad,-0.8,P3,area,0.02,0.02,64,img/quad/area/s0.1m-0.8/,0
