Sigma, Type, M, Participant, Graph Type, Error, Error (unsigned), Index, Filepath, isValidation
0.1,trig,-0.1,P16,scatter,-0.07,0.07,67,img/trig/scatter/s0.1m-0.1/,0
0.15,quad,0.2,P16,line,0.11,0.11,68,img/quad/line/s0.15m0.2/,0
0.05,trig,0.4,P16,area,0,0,69,img/trig/area/s0.05m0.4/,0
0.15,line,0.8,P16,scatter,0.17,0.17,70,img/line/scatter/s0.15m0.8/,0
0.1,quad,-0.4,P16,line,-0.1,0.1,71,img/quad/line/s0.1m-0.4/,0
0.15,line,-0.4,P16,line,-0.01,0.01,72,img/line/line/s0.15m-0.4/,0
0.1,trig,-0.4,P16,area,-0.1,0.1,73,img/trig/area/s0.1m-0.4/,0
0.2,quad,0.2,P16,area,0.18,0.18,74,img/quad/area/s0.2m0.2/,0
0.15,trig,0.1,P16,area,0.19,0.19,75,img/trig/area/s0.15m0.1/,0
0.02,line,0.8,P16,area,0.01,0.01,76,img_validation/line/area/s0.2m0.8/,1
0.2,line,-0.4,P16,area,-0.02,0.02,77,img/line/area/s0.2m-0.4/,0
0.1,quad,0.8,P16,line,0.04,0.04,78,img/quad/line/s0.1m0.8/,0
0.15,line,0.1,P16,scatter,0.44,0.44,79,img/line/scatter/s0.15m0.1/,0
0.2,trig,0.1,P16,scatter,0.16,0.16,80,img/trig/scatter/s0.2m0.1/,0
0.2,quad,-0.1,P16,scatter,0.48,0.48,81,img/quad/scatter/s0.2m-0.1/,0
0.05,trig,-0.2,P16,scatter,-0.05,0.05,82,img/trig/scatter/s0.05m-0.2/,0
0.15,line,-0.1,P16,line,-0.02,0.02,83,img/line/line/s0.15m-0.1/,0
0.05,quad,0.4,P16,line,-0.02,0.02,84,img/quad/line/s0.05m0.4/,0
0.15,line,-0.2,P16,area,-0.01,0.01,85,img/line/area/s0.15m-0.2/,0
0.05,trig,-0.2,P16,line,-0.03,0.03,86,img/trig/line/s0.05m-0.2/,0
0.05,quad,0.4,P16,scatter,0.02,0.02,87,img/quad/scatter/s0.05m0.4/,0
0.15,trig,-0.1,P16,scatter,-0.39,0.39,88,img/trig/scatter/s0.15m-0.1/,0
0.15,line,0.8,P16,line,-0.01,0.01,89,img/line/line/s0.15m0.8/,0
0.1,quad,0.4,P16,scatter,0.18,0.18,90,img/quad/scatter/s0.1m0.4/,0
0.15,line,0.4,P16,area,0.02,0.02,91,img/line/area/s0.15m0.4/,0
0.05,trig,0.8,P16,area,0.02,0.02,92,img/trig/area/s0.05m0.8/,0
0.15,quad,-0.4,P16,scatter,-0.21,0.21,93,img/quad/scatter/s0.15m-0.4/,0
0.2,trig,0.4,P16,area,0.18,0.18,94,img/trig/area/s0.2m0.4/,0
0.1,line,0.1,P16,scatter,0.13,0.13,95,img/line/scatter/s0.1m0.1/,0
0.05,quad,0.1,P16,area,0.08,0.08,96,img/quad/area/s0.05m0.1/,0
0.15,line,-0.2,P16,line,-0.1,0.1,97,img/line/line/s0.15m-0.2/,0
0.2,trig,0.2,P16,line,0.16,0.16,98,img/trig/line/s0.2m0.2/,0
0.2,quad,-0.4,P16,scatter,-0.49,0.49,99,img/quad/scatter/s0.2m-0.4/,0
