Sigma, Type, M, Participant, Graph Type, Error, Error (unsigned), Index, Filepath, isValidation
0.1,trig,-0.1,P1,scatter,-0.08,0.08,67,img/trig/scatter/s0.1m-0.1/,0
0.15,quad,0.2,P1,line,0.07,0.07,68,img/quad/line/s0.15m0.2/,0
0.05,trig,0.4,P1,area,-0.02,0.02,69,img/trig/area/s0.05m0.4/,0
0.15,line,0.8,P1,scatter,0.32,0.32,70,img/line/scatter/s0.15m0.8/,0
0.1,quad,-0.4,P1,line,-0.02,0.02,71,img/quad/line/s0.1m-0.4/,0
0.15,line,-0.4,P1,line,0.01,0.01,72,img/line/line/s0.15m-0.4/,0
0.1,trig,-0.4,P1,area,-0.01,0.01,73,img/trig/area/s0.1m-0.4/,0
0.2,quad,0.2,P1,area,0.46,0.46,74,img/quad/area/s0.2m0.2/,0
0.15,trig,0.1,P1,area,0.1,0.1,75,img/trig/area/s0.15m0.1/,0
0.02,line,0.8,P1,area,-0.01,0.01,76,img_validation/line/area/s0.2m0.8/,1
0.2,line,-0.4,P1,area,-0.22,0.22,77,img/line/area/s0.2m-0.4/,0
0.1,quad,0.8,P1,line,0.16,0.16,78,img/quad/line/s0.1m0.8/,0
0.15,line,0.1,P1,scatter,0.28,0.28,79,img/line/scatter/s0.15m0.1/,0
0.2,trig,0.1,P1,scatter,-0.35000000000000003,0.35000000000000003,80,img/trig/scatter/s0.2m0.1/,0
0.2,quad,-0.1,P1,scatter,-0.13,0.13,81,img/quad/scatter/s0.2m-0.1/,0
0.05,trig,-0.2,P1,scatter,0.02,0.02,82,img/trig/scatter/s0.05m-0.2/,0
0.15,line,-0.1,P1,line,-0.13,0.13,83,img/line/line/s0.15m-0.1/,0
0.05,quad,0.4,P1,line,0.14,0.14,84,img/quad/line/s0.05m0.4/,0
0.15,line,-0.2,P1,area,0.1,0.1,85,img/line/area/s0.15m-0.2/,0
0.05,trig,-0.2,P1,line,-0.01,0.01,86,img/trig/line/s0.05m-0.2/,0
0.05,quad,0.4,P1,scatter,0.08,0.08,87,img/quad/scatter/s0.05m0.4/,0
0.15,trig,-0.1,P1,scatter,-0.23,0.23,88,img/trig/scatter/s0.15m-0.1/,0
0.15,line,0.8,P1,line,0.1,0.1,89,img/line/line/s0.15m0.8/,0
0.1,quad,0.4,P1,scatter,-0.04,0.04,90,img/quad/scatter/s0.1m0.4/,0
0.15,line,0.4,P1,area,0.03,0.03,91,img/line/area/s0.15m0.4/,0
0.05,trig,0.8,P1,area,0.03,0.03,92,img/trig/area/s0.05m0.8/,0
0.15,quad,-0.4,P1,scatter,-0.09,0.09,93,img/quad/scatter/s0.15m-0.4/,0
0.2,trig,0.4,P1,area,0.09,0.09,94,img/trig/area/s0.2m0.4/,0
0.1,line,0.1,P1,scatter,-0.31,0.31,95,img/line/scatter/s0.1m0.1/,0
0.05,quad,0.1,P1,area,0.06,0.06,96,img/quad/area/s0.05m0.1/,0
0.15,line,-0.2,P1,line,-0.27,0.27,97,img/line/line/s0.15m-0.2/,0
0.2,trig,0.2,P1,line,0.08,0.08,98,img/trig/line/s0.2m0.2/,0
0.2,quad,-0.4,P1,scatter,-0.02,0.02,99,img/quad/scatter/s0.2m-0.4/,0
