Sigma, Type, M, Participant, Graph Type, Error, Error (unsigned), Index, Filepath, isValidation
0.1,trig,-0.1,P4,scatter,-0.21,0.21,67,img/trig/scatter/s0.1m-0.1/,0
0.15,quad,0.2,P4,line,0.12,0.12,68,img/quad/line/s0.15m0.2/,0
0.05,trig,0.4,P4,area,0.03,0.03,69,img/trig/area/s0.05m0.4/,0
0.15,line,0.8,P4,scatter,0.08,0.08,70,img/line/scatter/s0.15m0.8/,0
0.1,quad,-0.4,P4,line,-0.1,0.1,71,img/quad/line/s0.1m-0.4/,0
0.15,line,-0.4,P4,line,-0.05,0.05,72,img/line/line/s0.15m-0.4/,0
0.1,trig,-0.4,P4,area,-0.02,0.02,73,img/trig/area/s0.1m-0.4/,0
0.2,quad,0.2,P4,area,0.19,0.19,74,img/quad/area/s0.2m0.2/,0
0.15,trig,0.1,P4,area,0.24,0.24,75,img/trig/area/s0.15m0.1/,0
0.05,line,-0.2,P4,area,0.01,0.01,76,img_validation/line/area/s0.05m-0.2/,1
0.2,line,-0.4,P4,area,0.16,0.16,77,img/line/area/s0.2m-0.4/,0
0.1,quad,0.8,P4,line,-0.13,0.13,78,img/quad/line/s0.1m0.8/,0
0.15,line,0.1,P4,scatter,-0.19,0.19,79,img/line/scatter/s0.15m0.1/,0
0.2,trig,0.1,P4,scatter,0.32,0.32,80,img/trig/scatter/s0.2m0.1/,0
0.2,quad,-0.1,P4,scatter,0.12,0.12,81,img/quad/scatter/s0.2m-0.1/,0
0.05,trig,-0.2,P4,scatter,-0.04,0.04,82,img/trig/scatter/s0.05m-0.2/,0
0.15,line,-0.1,P4,line,-0.03,0.03,83,img/line/line/s0.15m-0.1/,0
0.05,quad,0.4,P4,line,0.02,0.02,84,img/quad/line/s0.05m0.4/,0
0.15,line,-0.2,P4,area,-0.09,0.09,85,img/line/area/s0.15m-0.2/,0
0.05,trig,-0.2,P4,line,0,0,86,img/trig/line/s0.05m-0.2/,0
0.05,quad,0.4,P4,scatter,0.03,0.03,87,img/quad/scatter/s0.05m0.4/,0
0.15,trig,-0.1,P4,scatter,-0.14,0.14,88,img/trig/scatter/s0.15m-0.1/,0
0.15,line,0.8,P4,line,0.14,0.14,89,img/line/line/s0.15m0.8/,0
0.1,quad,0.4,P4,scatter,0.11,0.11,90,img/quad/scatter/s0.1m0.4/,0
0.15,line,0.4,P4,area,0.08,0.08,91,img/line/area/s0.15m0.4/,0
0.05,trig,0.8,P4,area,0.11,0.11,92,img/trig/area/s0.05m0.8/,0
0.15,quad,-0.4,P4,scatter,-0.1,0.1,93,img/quad/scatter/s0.15m-0.4/,0
0.2,trig,0.4,P4,area,0.1,0.1,94,img/trig/area/s0.2m0.4/,0
0.1,line,0.1,P4,scatter,-0.11,0.11,95,img/line/scatter/s0.1m0.1/,0
0.05,quad,0.1,P4,area,0.04,0.04,96,img/quad/area/s0.05m0.1/,0
0.15,line,-0.2,P4,line,-0.07,0.07,97,img/line/line/s0.15m-0.2/,0
0.2,trig,0.2,P4,line,0.13,0.13,98,img/trig/line/s0.2m0.2/,0
0.2,quad,-0.4,P4,scatter,0.01,0.01,99,img/quad/scatter/s0.2m-0.4/,0
