Sigma, Type, M, Participant, Graph Type, Error, Error (unsigned), Index, Filepath, isValidation
0.05,trig,-0.8,P13,scatter,-0.01,0.01,48,img/trig/scatter/s0.05m-0.8/,0
0.05,quad,-0.4,P13,area,0.02,0.02,49,img/quad/area/s0.05m-0.4/,0
0.1,trig,-0.2,P13,scatter,-0.14,0.14,50,img/trig/scatter/s0.1m-0.2/,0
0.15,line,0.8,P13,area,0.11,0.11,51,img/line/area/s0.15m0.8/,0
0.2,quad,0.1,P13,line,0.13,0.13,52,img/quad/line/s0.2m0.1/,0
0.1,line,-0.8,P13,scatter,-0.11,0.11,53,img/line/scatter/s0.1m-0.8/,0
0.2,trig,-0.8,P13,line,0.06,0.06,54,img/trig/line/s0.2m-0.8/,0
0.2,quad,0.1,P13,area,0.05,0.05,55,img/quad/area/s0.2m0.1/,0
0.05,trig,-0.2,P13,area,-0.03,0.03,56,img/trig/area/s0.05m-0.2/,0
0.02,line,0.8,P13,area,0,0,57,img_validation/line/area/s0.2m0.8/,1
0.2,line,-0.2,P13,scatter,-0.12,0.12,58,img/line/scatter/s0.2m-0.2/,0
0.1,quad,-0.4,P13,scatter,-0.05,0.05,59,img/quad/scatter/s0.1m-0.4/,0
0.2,line,0.8,P13,area,-0.07,0.07,60,img/line/area/s0.2m0.8/,0
0.15,trig,-0.2,P13,scatter,-0.11,0.11,61,img/trig/scatter/s0.15m-0.2/,0
0.1,quad,-0.8,P13,line,0.02,0.02,62,img/quad/line/s0.1m-0.8/,0
0.1,trig,0.2,P13,line,-0.01,0.01,63,img/trig/line/s0.1m0.2/,0
0.1,line,-0.8,P13,area,0.02,0.02,64,img/line/area/s0.1m-0.8/,0
0.05,quad,-0.4,P13,line,-0.02,0.02,65,img/quad/line/s0.05m-0.4/,0
0.05,line,-0.1,P13,scatter,0,0,66,img/line/scatter/s0.05m-0.1/,0
0.1,trig,-0.1,P13,scatter,0.03,0.03,67,img/trig/scatter/s0.1m-0.1/,0
0.15,quad,0.2,P13,line,0.12,0.12,68,img/quad/line/s0.15m0.2/,0
0.05,trig,0.4,P13,area,-0.03,0.03,69,img/trig/area/s0.05m0.4/,0
0.15,line,0.8,P13,scatter,0.33,0.33,70,img/line/scatter/s0.15m0.8/,0
0.1,quad,-0.4,P13,line,-0.04,0.04,71,img/quad/line/s0.1m-0.4/,0
0.15,line,-0.4,P13,line,0.07,0.07,72,img/line/line/s0.15m-0.4/,0
0.1,trig,-0.4,P13,area,-0.07,0.07,73,img/trig/area/s0.1m-0.4/,0
0.2,quad,0.2,P13,area,0.22,0.22,74,img/quad/area/s0.2m0.2/,0
0.15,trig,0.1,P13,area,0.03,0.03,75,img/trig/area/s0.15m0.1/,0
0.01,line,-0.4,P13,area,0,0,76,img_validation/line/area/s0.1m-0.4/,1
0.2,line,-0.4,P13,area,-0.01,0.01,77,img/line/area/s0.2m-0.4/,0
0.1,quad,0.8,P13,line,-0.01,0.01,78,img/quad/line/s0.1m0.8/,0
0.15,line,0.1,P13,scatter,0.29,0.29,79,img/line/scatter/s0.15m0.1/,0
0.2,trig,0.1,P13,scatter,0.33,0.33,80,img/trig/scatter/s0.2m0.1/,0
0.2,quad,-0.1,P13,scatter,-0.42,0.42,81,img/quad/scatter/s0.2m-0.1/,0
0.05,trig,-0.2,P13,scatter,0.03,0.03,82,img/trig/scatter/s0.05m-0.2/,0
0.15,line,-0.1,P13,line,0.09,0.09,83,img/line/line/s0.15m-0.1/,0
0.05,quad,0.4,P13,line,-0.03,0.03,84,img/quad/line/s0.05m0.4/,0
0.15,line,-0.2,P13,area,-0.25,0.25,85,img/line/area/s0.15m-0.2/,0
0.05,trig,-0.2,P13,line,-0.01,0.01,86,img/trig/line/s0.05m-0.2/,0
0.05,quad,0.4,P13,scatter,0.02,0.02,87,img/quad/scatter/s0.05m0.4/,0
0.15,trig,-0.1,P13,scatter,-0.26,0.26,88,img/trig/scatter/s0.15m-0.1/,0
0.15,line,0.8,P13,line,0.09,0.09,89,img/line/line/s0.15m0.8/,0
0.1,quad,0.4,P13,scatter,0.2,0.2,90,img/quad/scatter/s0.1m0.4/,0
0.15,line,0.4,P13,area,-0.02,0.02,91,img/line/area/s0.15m0.4/,0
0.05,trig,0.8,P13,area,0.02,0.02,92,img/trig/area/s0.05m0.8/,0
0.15,quad,-0.4,P13,scatter,-0.08,0.08,93,img/quad/scatter/s0.15m-0.4/,0
0.2,trig,0.4,P13,area,0.18,0.18,94,img/trig/area/s0.2m0.4/,0
0.1,line,0.1,P13,scatter,-0.23,0.23,95,img/line/scatter/s0.1m0.1/,0
0.05,quad,0.1,P13,area,0,0,96,img/quad/area/s0.05m0.1/,0
0.15,line,-0.2,P13,line,-0.07,0.07,97,img/line/line/s0.15m-0.2/,0
0.2,trig,0.2,P13,line,0.01,0.01,98,img/trig/line/s0.2m0.2/,0
0.2,quad,-0.4,P13,scatter,-0.15,0.15,99,img/quad/scatter/s0.2m-0.4/,0
