Sigma, Type, M, Participant, Graph Type, Error, Error (unsigned), Index, Filepath, isValidation
0.05,quad,-0.8,P8,line,-0.03,0.03,0,img/quad/line/s0.05m-0.8/,0
0.05,trig,0.2,P8,area,0.08,0.08,1,img/trig/area/s0.05m0.2/,0
0.1,line,-0.1,P8,area,-0.04,0.04,2,img/line/area/s0.1m-0.1/,0
0.05,trig,-0.1,P8,area,-0.04,0.04,3,img/trig/area/s0.05m-0.1/,0
0.1,quad,0.1,P8,line,0.06,0.06,4,img/quad/line/s0.1m0.1/,0
0.15,line,0.2,P8,scatter,0.22,0.22,5,img/line/scatter/s0.15m0.2/,0
0.2,quad,-0.1,P8,area,0.11,0.11,6,img/quad/area/s0.2m-0.1/,0
0.2,trig,0.2,P8,scatter,0.16,0.16,7,img/trig/scatter/s0.2m0.2/,0
0.05,line,0.1,P8,scatter,0.06,0.06,8,img/line/scatter/s0.05m0.1/,0
0.05,trig,-0.1,P8,line,-0.03,0.03,9,img/trig/line/s0.05m-0.1/,0
0.05,quad,0.1,P8,line,0.02,0.02,10,img/quad/line/s0.05m0.1/,0
0.15,line,0.4,P8,scatter,0.35000000000000003,0.35000000000000003,11,img/line/scatter/s0.15m0.4/,0
0.2,quad,-0.1,P8,line,0.06,0.06,12,img/quad/line/s0.2m-0.1/,0
0.1,trig,0.1,P8,area,0.28,0.28,13,img/trig/area/s0.1m0.1/,0
0.1,line,-0.2,P8,area,-0.02,0.02,14,img/line/area/s0.1m-0.2/,0
0.2,trig,-0.4,P8,line,-0.07,0.07,15,img/trig/line/s0.2m-0.4/,0
0.2,quad,-0.2,P8,line,-0.21,0.21,16,img/quad/line/s0.2m-0.2/,0
0.05,line,0.2,P8,scatter,0.03,0.03,17,img/line/scatter/s0.05m0.2/,0
0.1,quad,-0.1,P8,line,0.02,0.02,18,img/quad/line/s0.1m-0.1/,0
0.01,line,-0.4,P8,area,0,0,19,img_validation/line/area/s0.1m-0.4/,1
0.1,trig,0.2,P8,scatter,0.04,0.04,20,img/trig/scatter/s0.1m0.2/,0
