Sigma, Type, M, Participant, Graph Type, Error, Error (unsigned), Index, Filepath, isValidation
0.05,line,-0.8,P6,line,-0.04,0.04,0,img/line/line/s0.05m-0.8/,0
0.05,quad,0.2,P6,area,-0.04,0.04,1,img/quad/area/s0.05m0.2/,0
0.1,trig,-0.1,P6,area,0.09,0.09,2,img/trig/area/s0.1m-0.1/,0
0.05,quad,-0.1,P6,area,0.03,0.03,3,img/quad/area/s0.05m-0.1/,0
0.1,line,0.1,P6,line,0.05,0.05,4,img/line/line/s0.1m0.1/,0
0.15,trig,0.2,P6,scatter,0.11,0.11,5,img/trig/scatter/s0.15m0.2/,0
0.2,line,-0.1,P6,area,0.12,0.12,6,img/line/area/s0.2m-0.1/,0
0.2,quad,0.2,P6,scatter,-0.08,0.08,7,img/quad/scatter/s0.2m0.2/,0
0.05,trig,0.1,P6,scatter,-0.1,0.1,8,img/trig/scatter/s0.05m0.1/,0
0.05,quad,-0.1,P6,line,0.04,0.04,9,img/quad/line/s0.05m-0.1/,0
0.05,line,0.1,P6,line,0.04,0.04,10,img/line/line/s0.05m0.1/,0
0.15,trig,0.4,P6,scatter,0.03,0.03,11,img/trig/scatter/s0.15m0.4/,0
0.2,line,-0.1,P6,line,0.14,0.14,12,img/line/line/s0.2m-0.1/,0
0.1,quad,0.1,P6,area,0.08,0.08,13,img/quad/area/s0.1m0.1/,0
0.1,trig,-0.2,P6,area,-0.09,0.09,14,img/trig/area/s0.1m-0.2/,0
0.2,quad,-0.4,P6,line,-0.02,0.02,15,img/quad/line/s0.2m-0.4/,0
0.2,line,-0.2,P6,line,-0.01,0.01,16,img/line/line/s0.2m-0.2/,0
0.05,trig,0.2,P6,scatter,-0.01,0.01,17,img/trig/scatter/s0.05m0.2/,0
0.1,line,-0.1,P6,line,0.03,0.03,18,img/line/line/s0.1m-0.1/,0
0.01,line,-0.4,P6,area,0.14,0.14,19,img_validation/line/area/s0.1m-0.4/,1
0.1,quad,0.2,P6,scatter,-0.01,0.01,20,img/quad/scatter/s0.1m0.2/,0
0.2,trig,-0.8,P6,scatter,0.08,0.08,21,img/trig/scatter/s0.2m-0.8/,0
0.15,quad,-0.8,P6,line,0.09,0.09,22,img/quad/line/s0.15m-0.8/,0
0.05,line,0.8,P6,scatter,0,0,23,img/line/scatter/s0.05m0.8/,0
0.05,trig,-0.8,P6,area,0.08,0.08,24,img/trig/area/s0.05m-0.8/,0
0.15,line,-0.8,P6,area,-0.23,0.23,25,img/line/area/s0.15m-0.8/,0
0.1,quad,0.8,P6,scatter,0.05,0.05,26,img/quad/scatter/s0.1m0.8/,0
0.05,trig,0.8,P6,line,-0.02,0.02,27,img/trig/line/s0.05m0.8/,0
0.1,quad,0.2,P6,area,0.06,0.06,28,img/quad/area/s0.1m0.2/,0
0.2,line,-0.8,P6,area,-0.12,0.12,29,img/line/area/s0.2m-0.8/,0
0.1,trig,0.8,P6,area,0.07,0.07,30,img/trig/area/s0.1m0.8/,0
