Sigma, Type, M, Participant, Graph Type, Error, Error (unsigned), Index, Filepath, isValidation
0.1,line,-0.2,P6,line,-0.12,0.12,31,img/line/line/s0.1m-0.2/,0
0.15,quad,-0.1,P6,area,-0.06,0.06,32,img/quad/area/s0.15m-0.1/,0
0.2,trig,0.4,P6,scatter,0.09,0.09,33,img/trig/scatter/s0.2m0.4/,0
0.05,quad,0.2,P6,line,-0.06,0.06,34,img/quad/line/s0.05m0.2/,0
0.15,line,-0.4,P6,area,-0.04,0.04,35,img/line/area/s0.15m-0.4/,0
0.1,trig,0.4,P6,area,0.16,0.16,36,img/trig/area/s0.1m0.4/,0
0.1,line,0.4,P6,line,-0.03,0.03,37,img/line/line/s0.1m0.4/,0
0.01,line,-0.4,P6,area,0.08,0.08,38,img_validation/line/area/s0.1m-0.4/,1
0.15,quad,-0.8,P6,scatter,0.04,0.04,39,img/quad/scatter/s0.15m-0.8/,0
0.05,trig,-0.4,P6,scatter,-0.02,0.02,40,img/trig/scatter/s0.05m-0.4/,0
0.2,quad,-0.2,P6,area,-0.15,0.15,41,img/quad/area/s0.2m-0.2/,0
0.2,line,0.8,P6,scatter,-0.16,0.16,42,img/line/scatter/s0.2m0.8/,0
0.15,trig,0.2,P6,area,0.1,0.1,43,img/trig/area/s0.15m0.2/,0
0.2,line,0.4,P6,line,-0.17,0.17,44,img/line/line/s0.2m0.4/,0
0.15,quad,0.1,P6,line,-0.1,0.1,45,img/quad/line/s0.15m0.1/,0
0.2,trig,0.8,P6,line,0.26,0.26,46,img/trig/line/s0.2m0.8/,0
0.15,quad,0.4,P6,line,0.01,0.01,47,img/quad/line/s0.15m0.4/,0
0.05,line,-0.8,P6,scatter,0.01,0.01,48,img/line/scatter/s0.05m-0.8/,0
0.05,trig,-0.4,P6,area,0.01,0.01,49,img/trig/area/s0.05m-0.4/,0
0.1,line,-0.2,P6,scatter,-0.15,0.15,50,img/line/scatter/s0.1m-0.2/,0
0.15,quad,0.8,P6,area,-0.22,0.22,51,img/quad/area/s0.15m0.8/,0
0.2,trig,0.1,P6,line,-0.19,0.19,52,img/trig/line/s0.2m0.1/,0
0.1,quad,-0.8,P6,scatter,-0.1,0.1,53,img/quad/scatter/s0.1m-0.8/,0
0.2,line,-0.8,P6,line,-0.02,0.02,54,img/line/line/s0.2m-0.8/,0
0.2,trig,0.1,P6,area,0.14,0.14,55,img/trig/area/s0.2m0.1/,0
0.05,line,-0.2,P6,area,0.01,0.01,56,img/line/area/s0.05m-0.2/,0
0.05,line,-0.2,P6,area,0.03,0.03,57,img_validation/line/area/s0.05m-0.2/,1
0.2,quad,-0.2,P6,scatter,-0.08,0.08,58,img/quad/scatter/s0.2m-0.2/,0
0.1,trig,-0.4,P6,scatter,0.14,0.14,59,img/trig/scatter/s0.1m-0.4/,0
0.2,quad,0.8,P6,area,-0.12,0.12,60,img/quad/area/s0.2m0.8/,0
0.15,line,-0.2,P6,scatter,-0.01,0.01,61,img/line/scatter/s0.15m-0.2/,0
0.1,trig,-0.8,P6,line,-0.07,0.07,62,img/trig/line/s0.1m-0.8/,0
0.1,line,0.2,P6,line,-0.1,0.1,63,img/line/line/s0.1m0.2/,0
0.1,quad,-0.8,P6,area,-0.08,0.08,64,img/quad/area/s0.1m-0.8/,0
0.05,trig,-0.4,P6,line,0,0,65,img/trig/line/s0.05m-0.4/,0
0.05,quad,-0.1,P6,scatter,-0.02,0.02,66,img/quad/scatter/s0.05m-0.1/,0
0.1,line,-0.1,P6,scatter,-0.09,0.09,67,img/line/scatter/s0.1m-0.1/,0
0.15,trig,0.2,P6,line,-0.02,0.02,68,img/trig/line/s0.15m0.2/,0
0.05,line,0.4,P6,area,0.02,0.02,69,img/line/area/s0.05m0.4/,0
0.15,quad,0.8,P6,scatter,0.3,0.3,70,img/quad/scatter/s0.15m0.8/,0
0.1,trig,-0.4,P6,line,-0.06,0.06,71,img/trig/line/s0.1m-0.4/,0
0.15,quad,-0.4,P6,line,-0.02,0.02,72,img/quad/line/s0.15m-0.4/,0
0.1,line,-0.4,P6,area,-0.14,0.14,73,img/line/area/s0.1m-0.4/,0
0.2,trig,0.2,P6,area,-0.04,0.04,74,img/trig/area/s0.2m0.2/,0
0.15,line,0.1,P6,area,0.19,0.19,75,img/line/area/s0.15m0.1/,0
0.02,line,0.8,P6,area,0.05,0.05,76,img_validation/line/area/s0.2m0.8/,1
0.2,quad,-0.4,P6,area,-0.01,0.01,77,img/quad/area/s0.2m-0.4/,0
0.1,trig,0.8,P6,line,0.18,0.18,78,img/trig/line/s0.1m0.8/,0
0.15,quad,0.1,P6,scatter,0.05,0.05,79,img/quad/scatter/s0.15m0.1/,0
0.2,line,0.1,P6,scatter,0.15,0.15,80,img/line/scatter/s0.2m0.1/,0
0.2,trig,-0.1,P6,scatter,0.08,0.08,81,img/trig/scatter/s0.2m-0.1/,0
0.05,line,-0.2,P6,scatter,-0.02,0.02,82,img/line/scatter/s0.05m-0.2/,0
0.15,quad,-0.1,P6,line,0.23,0.23,83,img/quad/line/s0.15m-0.1/,0
0.05,trig,0.4,P6,line,-0.01,0.01,84,img/trig/line/s0.05m0.4/,0
0.15,quad,-0.2,P6,area,0.02,0.02,85,img/quad/area/s0.15m-0.2/,0
0.05,line,-0.2,P6,line,-0.03,0.03,86,img/line/line/s0.05m-0.2/,0
0.05,trig,0.4,P6,scatter,0.01,0.01,87,img/trig/scatter/s0.05m0.4/,0
0.15,line,-0.1,P6,scatter,-0.06,0.06,88,img/line/scatter/s0.15m-0.1/,0
0.15,quad,0.8,P6,line,-0.12,0.12,89,img/quad/line/s0.15m0.8/,0
0.1,trig,0.4,P6,scatter,-0.03,0.03,90,img/trig/scatter/s0.1m0.4/,0
0.15,quad,0.4,P6,area,0.18,0.18,91,img/quad/area/s0.15m0.4/,0
0.05,line,0.8,P6,area,0.16,0.16,92,img/line/area/s0.05m0.8/,0
0.15,trig,-0.4,P6,scatter,0.04,0.04,93,img/trig/scatter/s0.15m-0.4/,0
0.2,line,0.4,P6,area,0.06,0.06,94,img/line/area/s0.2m0.4/,0
0.1,quad,0.1,P6,scatter,0.15,0.15,95,img/quad/scatter/s0.1m0.1/,0
0.05,trig,0.1,P6,area,0.15,0.15,96,img/trig/area/s0.05m0.1/,0
0.15,quad,-0.2,P6,line,0.01,0.01,97,img/quad/line/s0.15m-0.2/,0
0.2,line,0.2,P6,line,0.1,0.1,98,img/line/line/s0.2m0.2/,0
0.2,trig,-0.4,P6,scatter,0.1,0.1,99,img/trig/scatter/s0.2m-0.4/,0
