Sigma, Type, M, Participant, Graph Type, Error, Error (unsigned), Index, Filepath, isValidation
0.05,quad,-0.8,P14,line,-0.08,0.08,0,img/quad/line/s0.05m-0.8/,0
0.05,trig,0.2,P14,area,-0.01,0.01,1,img/trig/area/s0.05m0.2/,0
0.1,line,-0.1,P14,area,-0.05,0.05,2,img/line/area/s0.1m-0.1/,0
0.05,trig,-0.1,P14,area,0.01,0.01,3,img/trig/area/s0.05m-0.1/,0
0.1,quad,0.1,P14,line,0.03,0.03,4,img/quad/line/s0.1m0.1/,0
0.15,line,0.2,P14,scatter,0.11,0.11,5,img/line/scatter/s0.15m0.2/,0
0.2,quad,-0.1,P14,area,-0.14,0.14,6,img/quad/area/s0.2m-0.1/,0
0.2,trig,0.2,P14,scatter,0.16,0.16,7,img/trig/scatter/s0.2m0.2/,0
0.05,line,0.1,P14,scatter,-0.09,0.09,8,img/line/scatter/s0.05m0.1/,0
0.05,trig,-0.1,P14,line,0.1,0.1,9,img/trig/line/s0.05m-0.1/,0
0.05,quad,0.1,P14,line,-0.09,0.09,10,img/quad/line/s0.05m0.1/,0
0.15,line,0.4,P14,scatter,0.26,0.26,11,img/line/scatter/s0.15m0.4/,0
0.2,quad,-0.1,P14,line,0.23,0.23,12,img/quad/line/s0.2m-0.1/,0
0.1,trig,0.1,P14,area,0.16,0.16,13,img/trig/area/s0.1m0.1/,0
0.1,line,-0.2,P14,area,0,0,14,img/line/area/s0.1m-0.2/,0
0.2,trig,-0.4,P14,line,-0.12,0.12,15,img/trig/line/s0.2m-0.4/,0
0.2,quad,-0.2,P14,line,-0.15,0.15,16,img/quad/line/s0.2m-0.2/,0
0.05,line,0.2,P14,scatter,0.17,0.17,17,img/line/scatter/s0.05m0.2/,0
0.1,quad,-0.1,P14,line,-0.01,0.01,18,img/quad/line/s0.1m-0.1/,0
0.01,line,-0.4,P14,area,0,0,19,img_validation/line/area/s0.1m-0.4/,1
0.1,trig,0.2,P14,scatter,0.17,0.17,20,img/trig/scatter/s0.1m0.2/,0
0.2,line,-0.8,P14,scatter,-0.37,0.37,21,img/line/scatter/s0.2m-0.8/,0
0.15,trig,-0.8,P14,line,-0.14,0.14,22,img/trig/line/s0.15m-0.8/,0
0.05,quad,0.8,P14,scatter,0.07,0.07,23,img/quad/scatter/s0.05m0.8/,0
0.05,line,-0.8,P14,area,0.07,0.07,24,img/line/area/s0.05m-0.8/,0
0.15,quad,-0.8,P14,area,0.15,0.15,25,img/quad/area/s0.15m-0.8/,0
0.1,trig,0.8,P14,scatter,0.19,0.19,26,img/trig/scatter/s0.1m0.8/,0
0.05,line,0.8,P14,line,0.15,0.15,27,img/line/line/s0.05m0.8/,0
0.1,trig,0.2,P14,area,0.06,0.06,28,img/trig/area/s0.1m0.2/,0
0.2,quad,-0.8,P14,area,-0.09,0.09,29,img/quad/area/s0.2m-0.8/,0
0.1,line,0.8,P14,area,-0.16,0.16,30,img/line/area/s0.1m0.8/,0
0.1,quad,-0.2,P14,line,-0.13,0.13,31,img/quad/line/s0.1m-0.2/,0
0.15,trig,-0.1,P14,area,-0.11,0.11,32,img/trig/area/s0.15m-0.1/,0
0.2,line,0.4,P14,scatter,-0.02,0.02,33,img/line/scatter/s0.2m0.4/,0
0.05,trig,0.2,P14,line,-0.07,0.07,34,img/trig/line/s0.05m0.2/,0
0.15,quad,-0.4,P14,area,-0.01,0.01,35,img/quad/area/s0.15m-0.4/,0
0.1,line,0.4,P14,area,-0.19,0.19,36,img/line/area/s0.1m0.4/,0
0.1,quad,0.4,P14,line,0.11,0.11,37,img/quad/line/s0.1m0.4/,0
0.02,line,0.8,P14,area,0.01,0.01,38,img_validation/line/area/s0.2m0.8/,1
0.15,trig,-0.8,P14,scatter,-0.16,0.16,39,img/trig/scatter/s0.15m-0.8/,0
0.05,line,-0.4,P14,scatter,-0.03,0.03,40,img/line/scatter/s0.05m-0.4/,0
0.2,trig,-0.2,P14,area,-0.08,0.08,41,img/trig/area/s0.2m-0.2/,0
0.2,quad,0.8,P14,scatter,0.07,0.07,42,img/quad/scatter/s0.2m0.8/,0
0.15,line,0.2,P14,area,0.11,0.11,43,img/line/area/s0.15m0.2/,0
0.2,quad,0.4,P14,line,-0.15,0.15,44,img/quad/line/s0.2m0.4/,0
0.15,trig,0.1,P14,line,-0.27,0.27,45,img/trig/line/s0.15m0.1/,0
0.2,line,0.8,P14,line,-0.07,0.07,46,img/line/line/s0.2m0.8/,0
0.15,trig,0.4,P14,line,0.08,0.08,47,img/trig/line/s0.15m0.4/,0
0.05,quad,-0.8,P14,scatter,0,0,48,img/quad/scatter/s0.05m-0.8/,0
0.05,line,-0.4,P14,area,0,0,49,img/line/area/s0.05m-0.4/,0
0.1,quad,-0.2,P14,scatter,-0.14,0.14,50,img/quad/scatter/s0.1m-0.2/,0
0.15,trig,0.8,P14,area,0.22,0.22,51,img/trig/area/s0.15m0.8/,0
0.2,line,0.1,P14,line,-0.06,0.06,52,img/line/line/s0.2m0.1/,0
0.1,trig,-0.8,P14,scatter,-0.13,0.13,53,img/trig/scatter/s0.1m-0.8/,0
0.2,quad,-0.8,P14,line,0.13,0.13,54,img/quad/line/s0.2m-0.8/,0
0.2,line,0.1,P14,area,-0.28,0.28,55,img/line/area/s0.2m0.1/,0
0.05,quad,-0.2,P14,area,-0.02,0.02,56,img/quad/area/s0.05m-0.2/,0
0.05,line,-0.2,P14,area,0,0,57,img_validation/line/area/s0.05m-0.2/,1
0.2,trig,-0.2,P14,scatter,-0.19,0.19,58,img/trig/scatter/s0.2m-0.2/,0
0.1,line,-0.4,P14,scatter,-0.33,0.33,59,img/line/scatter/s0.1m-0.4/,0
0.2,trig,0.8,P14,area,0.32,0.32,60,img/trig/area/s0.2m0.8/,0
0.15,quad,-0.2,P14,scatter,-0.01,0.01,61,img/quad/scatter/s0.15m-0.2/,0
0.1,line,-0.8,P14,line,0.1,0.1,62,img/line/line/s0.1m-0.8/,0
0.1,quad,0.2,P14,line,0.1,0.1,63,img/quad/line/s0.1m0.2/,0
0.1,trig,-0.8,P14,area,0.07,0.07,64,img/trig/area/s0.1m-0.8/,0
0.05,line,-0.4,P14,line,-0.04,0.04,65,img/line/line/s0.05m-0.4/,0
0.05,trig,-0.1,P14,scatter,0.01,0.01,66,img/trig/scatter/s0.05m-0.1/,0
0.1,quad,-0.1,P14,scatter,0.06,0.06,67,img/quad/scatter/s0.1m-0.1/,0
0.15,line,0.2,P14,line,0.15,0.15,68,img/line/line/s0.15m0.2/,0
0.05,quad,0.4,P14,area,-0.03,0.03,69,img/quad/area/s0.05m0.4/,0
0.15,trig,0.8,P14,scatter,0.31,0.31,70,img/trig/scatter/s0.15m0.8/,0
0.1,line,-0.4,P14,line,-0.13,0.13,71,img/line/line/s0.1m-0.4/,0
0.15,trig,-0.4,P14,line,-0.02,0.02,72,img/trig/line/s0.15m-0.4/,0
0.1,quad,-0.4,P14,area,0,0,73,img/quad/area/s0.1m-0.4/,0
0.2,line,0.2,P14,area,0.07,0.07,74,img/line/area/s0.2m0.2/,0
0.15,quad,0.1,P14,area,0.08,0.08,75,img/quad/area/s0.15m0.1/,0
0.05,line,-0.2,P14,area,0,0,76,img_validation/line/area/s0.05m-0.2/,1
0.2,trig,-0.4,P14,area,-0.32,0.32,77,img/trig/area/s0.2m-0.4/,0
0.1,line,0.8,P14,line,-0.18,0.18,78,img/line/line/s0.1m0.8/,0
0.15,trig,0.1,P14,scatter,-0.34,0.34,79,img/trig/scatter/s0.15m0.1/,0
0.2,quad,0.1,P14,scatter,0.2,0.2,80,img/quad/scatter/s0.2m0.1/,0
0.2,line,-0.1,P14,scatter,-0.1,0.1,81,img/line/scatter/s0.2m-0.1/,0
0.05,quad,-0.2,P14,scatter,0.07,0.07,82,img/quad/scatter/s0.05m-0.2/,0
0.15,trig,-0.1,P14,line,-0.15,0.15,83,img/trig/line/s0.15m-0.1/,0
0.05,line,0.4,P14,line,0.17,0.17,84,img/line/line/s0.05m0.4/,0
0.15,trig,-0.2,P14,area,-0.34,0.34,85,img/trig/area/s0.15m-0.2/,0
