Sigma, Type, M, Participant, Graph Type, Error, Error (unsigned), Index, Filepath, isValidation
0.05,quad,-0.2,P14,line,0.06,0.06,86,img/quad/line/s0.05m-0.2/,0
0.05,line,0.4,P14,scatter,-0.03,0.03,87,img/line/scatter/s0.05m0.4/,0
0.15,quad,-0.1,P14,scatter,-0.17,0.17,88,img/quad/scatter/s0.15m-0.1/,0
0.15,trig,0.8,P14,line,0.08,0.08,89,img/trig/line/s0.15m0.8/,0
0.1,line,0.4,P14,scatter,0.08,0.08,90,img/line/scatter/s0.1m0.4/,0
0.15,trig,0.4,P14,area,-0.18,0.18,91,img/trig/area/s0.15m0.4/,0
0.05,quad,0.8,P14,area,0.06,0.06,92,img/quad/area/s0.05m0.8/,0
0.15,line,-0.4,P14,scatter,-0.09,0.09,93,img/line/scatter/s0.15m-0.4/,0
0.2,quad,0.4,P14,area,0.15,0.15,94,img/quad/area/s0.2m0.4/,0
0.1,trig,0.1,P14,scatter,0.24,0.24,95,img/trig/scatter/s0.1m0.1/,0
0.05,line,0.1,P14,area,0.05,0.05,96,img/line/area/s0.05m0.1/,0
0.15,trig,-0.2,P14,line,-0.22,0.22,97,img/trig/line/s0.15m-0.2/,0
0.2,quad,0.2,P14,line,0.11,0.11,98,img/quad/line/s0.2m0.2/,0
0.2,line,-0.4,P14,scatter,-0.22,0.22,99,img/line/scatter/s0.2m-0.4/,0
