"","Sigma","Type","M","Participant","Graph.Type","Error","Error..unsigned.","Index","Filepath","isValidation"
"1115",0.1,"quad",-0.2,"P13","area",-0.04,0.04,14,"img/quad/area/s0.1m-0.2/",0
"1116",0.2,"line",-0.4,"P13","line",-0.09,0.09,15,"img/line/line/s0.2m-0.4/",0
"1117",0.2,"trig",-0.2,"P13","line",-0.02,0.02,16,"img/trig/line/s0.2m-0.2/",0
"1118",0.05,"quad",0.2,"P13","scatter",0.04,0.04,17,"img/quad/scatter/s0.05m0.2/",0
"1119",0.1,"trig",-0.1,"P13","line",-0.08,0.08,18,"img/trig/line/s0.1m-0.1/",0
"1120",0.01,"line",-0.4,"P13","area",0,0,19,"img_validation/line/area/s0.1m-0.4/",1
"1121",0.1,"line",0.2,"P13","scatter",0.13,0.13,20,"img/line/scatter/s0.1m0.2/",0
"1122",0.2,"quad",-0.8,"P13","scatter",-0.07,0.07,21,"img/quad/scatter/s0.2m-0.8/",0
"1123",0.15,"line",-0.8,"P13","line",-0.05,0.05,22,"img/line/line/s0.15m-0.8/",0
"1124",0.05,"trig",0.8,"P13","scatter",-0.01,0.01,23,"img/trig/scatter/s0.05m0.8/",0
"1125",0.05,"quad",-0.8,"P13","area",0.05,0.05,24,"img/quad/area/s0.05m-0.8/",0
"1126",0.15,"trig",-0.8,"P13","area",-0.03,0.03,25,"img/trig/area/s0.15m-0.8/",0
"1127",0.1,"line",0.8,"P13","scatter",0.03,0.03,26,"img/line/scatter/s0.1m0.8/",0
"1128",0.05,"quad",0.8,"P13","line",0.05,0.05,27,"img/quad/line/s0.05m0.8/",0
"1129",0.1,"line",0.2,"P13","area",-0.03,0.03,28,"img/line/area/s0.1m0.2/",0
"1130",0.2,"trig",-0.8,"P13","area",0,0,29,"img/trig/area/s0.2m-0.8/",0
"1131",0.1,"quad",0.8,"P13","area",-0.01,0.01,30,"img/quad/area/s0.1m0.8/",0
"1132",0.1,"trig",-0.2,"P13","line",-0.02,0.02,31,"img/trig/line/s0.1m-0.2/",0
"1133",0.15,"line",-0.1,"P13","area",0.09,0.09,32,"img/line/area/s0.15m-0.1/",0
"1134",0.2,"quad",0.4,"P13","scatter",-0.01,0.01,33,"img/quad/scatter/s0.2m0.4/",0
"1135",0.05,"line",0.2,"P13","line",-0.01,0.01,34,"img/line/line/s0.05m0.2/",0
"1136",0.15,"trig",-0.4,"P13","area",-0.1,0.1,35,"img/trig/area/s0.15m-0.4/",0
"1137",0.1,"quad",0.4,"P13","area",0.04,0.04,36,"img/quad/area/s0.1m0.4/",0
"1138",0.1,"trig",0.4,"P13","line",-0.01,0.01,37,"img/trig/line/s0.1m0.4/",0
"1139",0.01,"line",-0.4,"P13","area",0,0,38,"img_validation/line/area/s0.1m-0.4/",1
