"","Sigma","Type","M","Participant","Graph.Type","Error","Error..unsigned.","Index","Filepath","isValidation"
"1308",0.2,"line",0.2,"P16","scatter",0.42,0.42,7,"img/line/scatter/s0.2m0.2/",0
"1309",0.05,"quad",0.1,"P16","scatter",0.02,0.02,8,"img/quad/scatter/s0.05m0.1/",0
"1310",0.05,"line",-0.1,"P16","line",-0.02,0.02,9,"img/line/line/s0.05m-0.1/",0
"1311",0.05,"trig",0.1,"P16","line",0.02,0.02,10,"img/trig/line/s0.05m0.1/",0
"1312",0.15,"quad",0.4,"P16","scatter",0.16,0.16,11,"img/quad/scatter/s0.15m0.4/",0
"1313",0.2,"trig",-0.1,"P16","line",-0.02,0.02,12,"img/trig/line/s0.2m-0.1/",0
"1314",0.1,"line",0.1,"P16","area",0.07,0.07,13,"img/line/area/s0.1m0.1/",0
"1315",0.1,"quad",-0.2,"P16","area",-0.06,0.06,14,"img/quad/area/s0.1m-0.2/",0
"1316",0.2,"line",-0.4,"P16","line",-0.04,0.04,15,"img/line/line/s0.2m-0.4/",0
"1317",0.2,"trig",-0.2,"P16","line",-0.19,0.19,16,"img/trig/line/s0.2m-0.2/",0
"1318",0.05,"quad",0.2,"P16","scatter",0.02,0.02,17,"img/quad/scatter/s0.05m0.2/",0
"1319",0.1,"trig",-0.1,"P16","line",-0.02,0.02,18,"img/trig/line/s0.1m-0.1/",0
"1320",0.01,"line",-0.4,"P16","area",-0.03,0.03,19,"img_validation/line/area/s0.1m-0.4/",1
"1321",0.1,"line",0.2,"P16","scatter",0.12,0.12,20,"img/line/scatter/s0.1m0.2/",0
"1322",0.2,"quad",-0.8,"P16","scatter",-0.18,0.18,21,"img/quad/scatter/s0.2m-0.8/",0
"1323",0.15,"line",-0.8,"P16","line",-0.14,0.14,22,"img/line/line/s0.15m-0.8/",0
"1324",0.05,"trig",0.8,"P16","scatter",0.01,0.01,23,"img/trig/scatter/s0.05m0.8/",0
"1325",0.05,"quad",-0.8,"P16","area",0.06,0.06,24,"img/quad/area/s0.05m-0.8/",0
"1326",0.15,"trig",-0.8,"P16","area",-0.04,0.04,25,"img/trig/area/s0.15m-0.8/",0
"1327",0.1,"line",0.8,"P16","scatter",0.11,0.11,26,"img/line/scatter/s0.1m0.8/",0
"1328",0.05,"quad",0.8,"P16","line",0.03,0.03,27,"img/quad/line/s0.05m0.8/",0
"1329",0.1,"line",0.2,"P16","area",0.08,0.08,28,"img/line/area/s0.1m0.2/",0
"1330",0.2,"trig",-0.8,"P16","area",-0.24,0.24,29,"img/trig/area/s0.2m-0.8/",0
"1331",0.1,"quad",0.8,"P16","area",0.02,0.02,30,"img/quad/area/s0.1m0.8/",0
"1332",0.1,"trig",-0.2,"P16","line",0.01,0.01,31,"img/trig/line/s0.1m-0.2/",0
"1333",0.15,"line",-0.1,"P16","area",0.02,0.02,32,"img/line/area/s0.15m-0.1/",0
"1334",0.2,"quad",0.4,"P16","scatter",0.18,0.18,33,"img/quad/scatter/s0.2m0.4/",0
"1335",0.05,"line",0.2,"P16","line",-0.03,0.03,34,"img/line/line/s0.05m0.2/",0
"1336",0.15,"trig",-0.4,"P16","area",-0.05,0.05,35,"img/trig/area/s0.15m-0.4/",0
"1337",0.1,"quad",0.4,"P16","area",0.2,0.2,36,"img/quad/area/s0.1m0.4/",0
"1338",0.1,"trig",0.4,"P16","line",0.05,0.05,37,"img/trig/line/s0.1m0.4/",0
"1339",0.05,"line",-0.2,"P16","area",-0.06,0.06,38,"img_validation/line/area/s0.05m-0.2/",1
"1340",0.15,"line",-0.8,"P16","scatter",-0.11,0.11,39,"img/line/scatter/s0.15m-0.8/",0
"1341",0.05,"quad",-0.4,"P16","scatter",0,0,40,"img/quad/scatter/s0.05m-0.4/",0
"1342",0.2,"line",-0.2,"P16","area",0.02,0.02,41,"img/line/area/s0.2m-0.2/",0
"1343",0.2,"trig",0.8,"P16","scatter",0.11,0.11,42,"img/trig/scatter/s0.2m0.8/",0
"1344",0.15,"quad",0.2,"P16","area",0.14,0.14,43,"img/quad/area/s0.15m0.2/",0
"1345",0.2,"trig",0.4,"P16","line",0.07,0.07,44,"img/trig/line/s0.2m0.4/",0
"1346",0.15,"line",0.1,"P16","line",0.25,0.25,45,"img/line/line/s0.15m0.1/",0
"1347",0.2,"quad",0.8,"P16","line",-0.06,0.06,46,"img/quad/line/s0.2m0.8/",0
"1348",0.15,"line",0.4,"P16","line",0.15,0.15,47,"img/line/line/s0.15m0.4/",0
"1349",0.05,"trig",-0.8,"P16","scatter",-0.01,0.01,48,"img/trig/scatter/s0.05m-0.8/",0
"1350",0.05,"quad",-0.4,"P16","area",0.02,0.02,49,"img/quad/area/s0.05m-0.4/",0
"1351",0.1,"trig",-0.2,"P16","scatter",-0.13,0.13,50,"img/trig/scatter/s0.1m-0.2/",0
"1352",0.15,"line",0.8,"P16","area",0.08,0.08,51,"img/line/area/s0.15m0.8/",0
"1353",0.2,"quad",0.1,"P16","line",0.04,0.04,52,"img/quad/line/s0.2m0.1/",0
"1354",0.1,"line",-0.8,"P16","scatter",-0.1,0.1,53,"img/line/scatter/s0.1m-0.8/",0
"1355",0.2,"trig",-0.8,"P16","line",-0.08,0.08,54,"img/trig/line/s0.2m-0.8/",0
"1356",0.2,"quad",0.1,"P16","area",0.09,0.09,55,"img/quad/area/s0.2m0.1/",0
"1357",0.05,"trig",-0.2,"P16","area",-0.02,0.02,56,"img/trig/area/s0.05m-0.2/",0
"1358",0.05,"line",-0.2,"P16","area",-0.05,0.05,57,"img_validation/line/area/s0.05m-0.2/",1
"1359",0.2,"line",-0.2,"P16","scatter",-0.26,0.26,58,"img/line/scatter/s0.2m-0.2/",0
"1360",0.1,"quad",-0.4,"P16","scatter",-0.09,0.09,59,"img/quad/scatter/s0.1m-0.4/",0
"1361",0.2,"line",0.8,"P16","area",-0.1,0.1,60,"img/line/area/s0.2m0.8/",0
"1362",0.15,"trig",-0.2,"P16","scatter",-0.01,0.01,61,"img/trig/scatter/s0.15m-0.2/",0
"1363",0.1,"quad",-0.8,"P16","line",-0.05,0.05,62,"img/quad/line/s0.1m-0.8/",0
"1364",0.1,"trig",0.2,"P16","line",0.04,0.04,63,"img/trig/line/s0.1m0.2/",0
"1365",0.1,"line",-0.8,"P16","area",-0.04,0.04,64,"img/line/area/s0.1m-0.8/",0
"1366",0.05,"quad",-0.4,"P16","line",-0.01,0.01,65,"img/quad/line/s0.05m-0.4/",0
"1367",0.05,"line",-0.1,"P16","scatter",0,0,66,"img/line/scatter/s0.05m-0.1/",0
"1368",0.1,"trig",-0.1,"P16","scatter",-0.07,0.07,67,"img/trig/scatter/s0.1m-0.1/",0
"1369",0.15,"quad",0.2,"P16","line",0.11,0.11,68,"img/quad/line/s0.15m0.2/",0
"1370",0.05,"trig",0.4,"P16","area",0,0,69,"img/trig/area/s0.05m0.4/",0
"1371",0.15,"line",0.8,"P16","scatter",0.17,0.17,70,"img/line/scatter/s0.15m0.8/",0
"1372",0.1,"quad",-0.4,"P16","line",-0.1,0.1,71,"img/quad/line/s0.1m-0.4/",0
"1373",0.15,"line",-0.4,"P16","line",-0.01,0.01,72,"img/line/line/s0.15m-0.4/",0
"1374",0.1,"trig",-0.4,"P16","area",-0.1,0.1,73,"img/trig/area/s0.1m-0.4/",0
"1375",0.2,"quad",0.2,"P16","area",0.18,0.18,74,"img/quad/area/s0.2m0.2/",0
"1376",0.15,"trig",0.1,"P16","area",0.19,0.19,75,"img/trig/area/s0.15m0.1/",0
"1377",0.02,"line",0.8,"P16","area",0.01,0.01,76,"img_validation/line/area/s0.2m0.8/",1
"1378",0.2,"line",-0.4,"P16","area",-0.02,0.02,77,"img/line/area/s0.2m-0.4/",0
"1379",0.1,"quad",0.8,"P16","line",0.04,0.04,78,"img/quad/line/s0.1m0.8/",0
"1380",0.15,"line",0.1,"P16","scatter",0.44,0.44,79,"img/line/scatter/s0.15m0.1/",0
"1381",0.2,"trig",0.1,"P16","scatter",0.16,0.16,80,"img/trig/scatter/s0.2m0.1/",0
"1382",0.2,"quad",-0.1,"P16","scatter",0.48,0.48,81,"img/quad/scatter/s0.2m-0.1/",0
"1383",0.05,"trig",-0.2,"P16","scatter",-0.05,0.05,82,"img/trig/scatter/s0.05m-0.2/",0
"1384",0.15,"line",-0.1,"P16","line",-0.02,0.02,83,"img/line/line/s0.15m-0.1/",0
"1385",0.05,"quad",0.4,"P16","line",-0.02,0.02,84,"img/quad/line/s0.05m0.4/",0
"1386",0.15,"line",-0.2,"P16","area",-0.01,0.01,85,"img/line/area/s0.15m-0.2/",0
"1387",0.05,"trig",-0.2,"P16","line",-0.03,0.03,86,"img/trig/line/s0.05m-0.2/",0
"1388",0.05,"quad",0.4,"P16","scatter",0.02,0.02,87,"img/quad/scatter/s0.05m0.4/",0
"1389",0.15,"trig",-0.1,"P16","scatter",-0.39,0.39,88,"img/trig/scatter/s0.15m-0.1/",0
"1390",0.15,"line",0.8,"P16","line",-0.01,0.01,89,"img/line/line/s0.15m0.8/",0
"1391",0.1,"quad",0.4,"P16","scatter",0.18,0.18,90,"img/quad/scatter/s0.1m0.4/",0
"1392",0.15,"line",0.4,"P16","area",0.02,0.02,91,"img/line/area/s0.15m0.4/",0
"1393",0.05,"trig",0.8,"P16","area",0.02,0.02,92,"img/trig/area/s0.05m0.8/",0
"1394",0.15,"quad",-0.4,"P16","scatter",-0.21,0.21,93,"img/quad/scatter/s0.15m-0.4/",0
"1395",0.2,"trig",0.4,"P16","area",0.18,0.18,94,"img/trig/area/s0.2m0.4/",0
"1396",0.1,"line",0.1,"P16","scatter",0.13,0.13,95,"img/line/scatter/s0.1m0.1/",0
"1397",0.05,"quad",0.1,"P16","area",0.08,0.08,96,"img/quad/area/s0.05m0.1/",0
"1398",0.15,"line",-0.2,"P16","line",-0.1,0.1,97,"img/line/line/s0.15m-0.2/",0
"1399",0.2,"trig",0.2,"P16","line",0.16,0.16,98,"img/trig/line/s0.2m0.2/",0
"1400",0.2,"quad",-0.4,"P16","scatter",-0.49,0.49,99,"img/quad/scatter/s0.2m-0.4/",0
"1401",0.05,"quad",-0.8,"P17","line",-0.03,0.03,0,"img/quad/line/s0.05m-0.8/",0
"1402",0.05,"trig",0.2,"P17","area",0.04,0.04,1,"img/trig/area/s0.05m0.2/",0
"1403",0.1,"line",-0.1,"P17","area",0.01,0.01,2,"img/line/area/s0.1m-0.1/",0
"1404",0.05,"trig",-0.1,"P17","area",-0.1,0.1,3,"img/trig/area/s0.05m-0.1/",0
"1405",0.1,"quad",0.1,"P17","line",0.1,0.1,4,"img/quad/line/s0.1m0.1/",0
"1406",0.15,"line",0.2,"P17","scatter",0.05,0.05,5,"img/line/scatter/s0.15m0.2/",0
"1407",0.2,"quad",-0.1,"P17","area",-0.18,0.18,6,"img/quad/area/s0.2m-0.1/",0
"1408",0.2,"trig",0.2,"P17","scatter",-0.07,0.07,7,"img/trig/scatter/s0.2m0.2/",0
"1409",0.05,"line",0.1,"P17","scatter",0.03,0.03,8,"img/line/scatter/s0.05m0.1/",0
"1410",0.05,"trig",-0.1,"P17","line",-0.07,0.07,9,"img/trig/line/s0.05m-0.1/",0
"1411",0.05,"quad",0.1,"P17","line",0.03,0.03,10,"img/quad/line/s0.05m0.1/",0
"1412",0.15,"line",0.4,"P17","scatter",0.14,0.14,11,"img/line/scatter/s0.15m0.4/",0
"1413",0.2,"quad",-0.1,"P17","line",-0.14,0.14,12,"img/quad/line/s0.2m-0.1/",0
"1414",0.1,"trig",0.1,"P17","area",0.06,0.06,13,"img/trig/area/s0.1m0.1/",0
"1415",0.1,"line",-0.2,"P17","area",-0.06,0.06,14,"img/line/area/s0.1m-0.2/",0
"1416",0.2,"trig",-0.4,"P17","line",0.01,0.01,15,"img/trig/line/s0.2m-0.4/",0
"1417",0.2,"quad",-0.2,"P17","line",-0.18,0.18,16,"img/quad/line/s0.2m-0.2/",0
"1418",0.05,"line",0.2,"P17","scatter",0.04,0.04,17,"img/line/scatter/s0.05m0.2/",0
"1419",0.1,"quad",-0.1,"P17","line",-0.07,0.07,18,"img/quad/line/s0.1m-0.1/",0
"1420",0.02,"line",0.8,"P17","area",-0.01,0.01,19,"img_validation/line/area/s0.2m0.8/",1
"1421",0.1,"trig",0.2,"P17","scatter",0.22,0.22,20,"img/trig/scatter/s0.1m0.2/",0
"1422",0.2,"line",-0.8,"P17","scatter",-0.26,0.26,21,"img/line/scatter/s0.2m-0.8/",0
"1423",0.15,"trig",-0.8,"P17","line",-0.05,0.05,22,"img/trig/line/s0.15m-0.8/",0
"1424",0.05,"quad",0.8,"P17","scatter",0.05,0.05,23,"img/quad/scatter/s0.05m0.8/",0
"1425",0.05,"line",-0.8,"P17","area",0,0,24,"img/line/area/s0.05m-0.8/",0
"1426",0.15,"quad",-0.8,"P17","area",-0.03,0.03,25,"img/quad/area/s0.15m-0.8/",0
"1427",0.1,"trig",0.8,"P17","scatter",0.01,0.01,26,"img/trig/scatter/s0.1m0.8/",0
"1428",0.05,"line",0.8,"P17","line",0.05,0.05,27,"img/line/line/s0.05m0.8/",0
"1429",0.1,"trig",0.2,"P17","area",0.13,0.13,28,"img/trig/area/s0.1m0.2/",0
"1430",0.2,"quad",-0.8,"P17","area",-0.03,0.03,29,"img/quad/area/s0.2m-0.8/",0
"1431",0.1,"line",0.8,"P17","area",-0.01,0.01,30,"img/line/area/s0.1m0.8/",0
"1432",0.1,"quad",-0.2,"P17","line",-0.02,0.02,31,"img/quad/line/s0.1m-0.2/",0
"1433",0.15,"trig",-0.1,"P17","area",-0.05,0.05,32,"img/trig/area/s0.15m-0.1/",0
"1434",0.2,"line",0.4,"P17","scatter",0.31,0.31,33,"img/line/scatter/s0.2m0.4/",0
"1435",0.05,"trig",0.2,"P17","line",0.05,0.05,34,"img/trig/line/s0.05m0.2/",0
"1436",0.15,"quad",-0.4,"P17","area",-0.03,0.03,35,"img/quad/area/s0.15m-0.4/",0
"1437",0.1,"line",0.4,"P17","area",0.03,0.03,36,"img/line/area/s0.1m0.4/",0
"1438",0.1,"quad",0.4,"P17","line",0.02,0.02,37,"img/quad/line/s0.1m0.4/",0
"1439",0.05,"line",-0.2,"P17","area",-0.01,0.01,38,"img_validation/line/area/s0.05m-0.2/",1
"1440",0.15,"trig",-0.8,"P17","scatter",-0.12,0.12,39,"img/trig/scatter/s0.15m-0.8/",0
"1441",0.05,"line",-0.4,"P17","scatter",-0.02,0.02,40,"img/line/scatter/s0.05m-0.4/",0
"1442",0.2,"trig",-0.2,"P17","area",-0.16,0.16,41,"img/trig/area/s0.2m-0.2/",0
"1443",0.2,"quad",0.8,"P17","scatter",0.15,0.15,42,"img/quad/scatter/s0.2m0.8/",0
"1444",0.15,"line",0.2,"P17","area",0.03,0.03,43,"img/line/area/s0.15m0.2/",0
"1445",0.2,"quad",0.4,"P17","line",0.12,0.12,44,"img/quad/line/s0.2m0.4/",0
"1446",0.15,"trig",0.1,"P17","line",0.08,0.08,45,"img/trig/line/s0.15m0.1/",0
"1447",0.2,"line",0.8,"P17","line",-0.01,0.01,46,"img/line/line/s0.2m0.8/",0
"1448",0.15,"trig",0.4,"P17","line",0.07,0.07,47,"img/trig/line/s0.15m0.4/",0
"1449",0.05,"quad",-0.8,"P17","scatter",0.02,0.02,48,"img/quad/scatter/s0.05m-0.8/",0
"1450",0.05,"line",-0.4,"P17","area",0.01,0.01,49,"img/line/area/s0.05m-0.4/",0
"1451",0.1,"quad",-0.2,"P17","scatter",-0.08,0.08,50,"img/quad/scatter/s0.1m-0.2/",0
"1452",0.15,"trig",0.8,"P17","area",0.12,0.12,51,"img/trig/area/s0.15m0.8/",0
"1453",0.2,"line",0.1,"P17","line",0.07,0.07,52,"img/line/line/s0.2m0.1/",0
"1454",0.1,"trig",-0.8,"P17","scatter",-0.05,0.05,53,"img/trig/scatter/s0.1m-0.8/",0
"1455",0.2,"quad",-0.8,"P17","line",0.04,0.04,54,"img/quad/line/s0.2m-0.8/",0
"1456",0.2,"line",0.1,"P17","area",-0.07,0.07,55,"img/line/area/s0.2m0.1/",0
"1457",0.05,"quad",-0.2,"P17","area",0.02,0.02,56,"img/quad/area/s0.05m-0.2/",0
"1458",0.05,"line",-0.2,"P17","area",0.01,0.01,57,"img_validation/line/area/s0.05m-0.2/",1
"1459",0.2,"trig",-0.2,"P17","scatter",-0.13,0.13,58,"img/trig/scatter/s0.2m-0.2/",0
"1460",0.1,"line",-0.4,"P17","scatter",-0.06,0.06,59,"img/line/scatter/s0.1m-0.4/",0
"1461",0.2,"trig",0.8,"P17","area",-0.03,0.03,60,"img/trig/area/s0.2m0.8/",0
"1462",0.15,"quad",-0.2,"P17","scatter",-0.05,0.05,61,"img/quad/scatter/s0.15m-0.2/",0
"1463",0.1,"line",-0.8,"P17","line",0.07,0.07,62,"img/line/line/s0.1m-0.8/",0
"1464",0.1,"quad",0.2,"P17","line",0.13,0.13,63,"img/quad/line/s0.1m0.2/",0
"1465",0.1,"trig",-0.8,"P17","area",0.03,0.03,64,"img/trig/area/s0.1m-0.8/",0
"1466",0.05,"line",-0.4,"P17","line",0,0,65,"img/line/line/s0.05m-0.4/",0
"1467",0.05,"trig",-0.1,"P17","scatter",-0.02,0.02,66,"img/trig/scatter/s0.05m-0.1/",0
"1468",0.1,"quad",-0.1,"P17","scatter",0.01,0.01,67,"img/quad/scatter/s0.1m-0.1/",0
"1469",0.15,"line",0.2,"P17","line",0,0,68,"img/line/line/s0.15m0.2/",0
"1470",0.05,"quad",0.4,"P17","area",-0.02,0.02,69,"img/quad/area/s0.05m0.4/",0
"1471",0.15,"trig",0.8,"P17","scatter",0.15,0.15,70,"img/trig/scatter/s0.15m0.8/",0
"1472",0.1,"line",-0.4,"P17","line",0,0,71,"img/line/line/s0.1m-0.4/",0
"1473",0.15,"trig",-0.4,"P17","line",-0.09,0.09,72,"img/trig/line/s0.15m-0.4/",0
"1474",0.1,"quad",-0.4,"P17","area",0.06,0.06,73,"img/quad/area/s0.1m-0.4/",0
"1475",0.2,"line",0.2,"P17","area",0.17,0.17,74,"img/line/area/s0.2m0.2/",0
"1476",0.15,"quad",0.1,"P17","area",0.02,0.02,75,"img/quad/area/s0.15m0.1/",0
"1477",0.01,"line",-0.4,"P17","area",-0.05,0.05,76,"img_validation/line/area/s0.1m-0.4/",1
"1478",0.2,"trig",-0.4,"P17","area",-0.16,0.16,77,"img/trig/area/s0.2m-0.4/",0
"1479",0.1,"line",0.8,"P17","line",0,0,78,"img/line/line/s0.1m0.8/",0
"1480",0.15,"trig",0.1,"P17","scatter",0.37,0.37,79,"img/trig/scatter/s0.15m0.1/",0
"1481",0.2,"quad",0.1,"P17","scatter",0.03,0.03,80,"img/quad/scatter/s0.2m0.1/",0
"1482",0.2,"line",-0.1,"P17","scatter",0.29,0.29,81,"img/line/scatter/s0.2m-0.1/",0
"1483",0.05,"quad",-0.2,"P17","scatter",-0.01,0.01,82,"img/quad/scatter/s0.05m-0.2/",0
"1484",0.15,"trig",-0.1,"P17","line",0.23,0.23,83,"img/trig/line/s0.15m-0.1/",0
"1485",0.05,"line",0.4,"P17","line",0,0,84,"img/line/line/s0.05m0.4/",0
"1486",0.15,"trig",-0.2,"P17","area",-0.11,0.11,85,"img/trig/area/s0.15m-0.2/",0
"1487",0.05,"quad",-0.2,"P17","line",-0.03,0.03,86,"img/quad/line/s0.05m-0.2/",0
"1488",0.05,"line",0.4,"P17","scatter",-0.01,0.01,87,"img/line/scatter/s0.05m0.4/",0
"1489",0.15,"quad",-0.1,"P17","scatter",-0.16,0.16,88,"img/quad/scatter/s0.15m-0.1/",0
"1490",0.15,"trig",0.8,"P17","line",0.03,0.03,89,"img/trig/line/s0.15m0.8/",0
"1491",0.1,"line",0.4,"P17","scatter",0.13,0.13,90,"img/line/scatter/s0.1m0.4/",0
"1492",0.15,"trig",0.4,"P17","area",0,0,91,"img/trig/area/s0.15m0.4/",0
"1493",0.05,"quad",0.8,"P17","area",0.02,0.02,92,"img/quad/area/s0.05m0.8/",0
"1494",0.15,"line",-0.4,"P17","scatter",-0.05,0.05,93,"img/line/scatter/s0.15m-0.4/",0
"1495",0.2,"quad",0.4,"P17","area",0.14,0.14,94,"img/quad/area/s0.2m0.4/",0
"1496",0.1,"trig",0.1,"P17","scatter",-0.05,0.05,95,"img/trig/scatter/s0.1m0.1/",0
"1497",0.05,"line",0.1,"P17","area",0.02,0.02,96,"img/line/area/s0.05m0.1/",0
"1498",0.15,"trig",-0.2,"P17","line",-0.1,0.1,97,"img/trig/line/s0.15m-0.2/",0
"1499",0.2,"quad",0.2,"P17","line",0.07,0.07,98,"img/quad/line/s0.2m0.2/",0
"1500",0.2,"line",-0.4,"P17","scatter",0.12,0.12,99,"img/line/scatter/s0.2m-0.4/",0
"1501",0.05,"line",-0.8,"P18","line",-0.01,0.01,0,"img/line/line/s0.05m-0.8/",0
"1502",0.05,"quad",0.2,"P18","area",0.06,0.06,1,"img/quad/area/s0.05m0.2/",0
"1503",0.1,"trig",-0.1,"P18","area",-0.09,0.09,2,"img/trig/area/s0.1m-0.1/",0
"1504",0.05,"quad",-0.1,"P18","area",0,0,3,"img/quad/area/s0.05m-0.1/",0
"1505",0.1,"line",0.1,"P18","line",0.08,0.08,4,"img/line/line/s0.1m0.1/",0
"1506",0.15,"trig",0.2,"P18","scatter",0.12,0.12,5,"img/trig/scatter/s0.15m0.2/",0
"1507",0.2,"line",-0.1,"P18","area",-0.1,0.1,6,"img/line/area/s0.2m-0.1/",0
"1508",0.2,"quad",0.2,"P18","scatter",0.23,0.23,7,"img/quad/scatter/s0.2m0.2/",0
"1509",0.05,"trig",0.1,"P18","scatter",0,0,8,"img/trig/scatter/s0.05m0.1/",0
"1510",0.05,"quad",-0.1,"P18","line",-0.03,0.03,9,"img/quad/line/s0.05m-0.1/",0
"1511",0.05,"line",0.1,"P18","line",0.03,0.03,10,"img/line/line/s0.05m0.1/",0
"1512",0.15,"trig",0.4,"P18","scatter",0.17,0.17,11,"img/trig/scatter/s0.15m0.4/",0
"1513",0.2,"line",-0.1,"P18","line",-0.12,0.12,12,"img/line/line/s0.2m-0.1/",0
"1514",0.1,"quad",0.1,"P18","area",0.1,0.1,13,"img/quad/area/s0.1m0.1/",0
"1515",0.1,"trig",-0.2,"P18","area",0,0,14,"img/trig/area/s0.1m-0.2/",0
"1516",0.2,"quad",-0.4,"P18","line",0.03,0.03,15,"img/quad/line/s0.2m-0.4/",0
"1517",0.2,"line",-0.2,"P18","line",-0.05,0.05,16,"img/line/line/s0.2m-0.2/",0
"1518",0.05,"trig",0.2,"P18","scatter",0,0,17,"img/trig/scatter/s0.05m0.2/",0
"1519",0.1,"line",-0.1,"P18","line",-0.06,0.06,18,"img/line/line/s0.1m-0.1/",0
"1520",0.02,"line",0.8,"P18","area",0,0,19,"img_validation/line/area/s0.2m0.8/",1
"1521",0.1,"quad",0.2,"P18","scatter",0.02,0.02,20,"img/quad/scatter/s0.1m0.2/",0
"1522",0.2,"trig",-0.8,"P18","scatter",0,0,21,"img/trig/scatter/s0.2m-0.8/",0
"1523",0.15,"quad",-0.8,"P18","line",0,0,22,"img/quad/line/s0.15m-0.8/",0
"1524",0.05,"line",0.8,"P18","scatter",0.01,0.01,23,"img/line/scatter/s0.05m0.8/",0
"1525",0.05,"trig",-0.8,"P18","area",-0.02,0.02,24,"img/trig/area/s0.05m-0.8/",0
"1526",0.15,"line",-0.8,"P18","area",-0.09,0.09,25,"img/line/area/s0.15m-0.8/",0
"1527",0.1,"quad",0.8,"P18","scatter",0.03,0.03,26,"img/quad/scatter/s0.1m0.8/",0
"1528",0.05,"trig",0.8,"P18","line",0.02,0.02,27,"img/trig/line/s0.05m0.8/",0
"1529",0.1,"quad",0.2,"P18","area",0.11,0.11,28,"img/quad/area/s0.1m0.2/",0
"1530",0.2,"line",-0.8,"P18","area",0.03,0.03,29,"img/line/area/s0.2m-0.8/",0
"1531",0.1,"trig",0.8,"P18","area",0.03,0.03,30,"img/trig/area/s0.1m0.8/",0
"1532",0.1,"line",-0.2,"P18","line",-0.06,0.06,31,"img/line/line/s0.1m-0.2/",0
"1533",0.15,"quad",-0.1,"P18","area",0,0,32,"img/quad/area/s0.15m-0.1/",0
"1534",0.2,"trig",0.4,"P18","scatter",0.1,0.1,33,"img/trig/scatter/s0.2m0.4/",0
"1535",0.05,"quad",0.2,"P18","line",0.01,0.01,34,"img/quad/line/s0.05m0.2/",0
"1536",0.15,"line",-0.4,"P18","area",0.03,0.03,35,"img/line/area/s0.15m-0.4/",0
"1537",0.1,"trig",0.4,"P18","area",-0.02,0.02,36,"img/trig/area/s0.1m0.4/",0
"1538",0.1,"line",0.4,"P18","line",0.03,0.03,37,"img/line/line/s0.1m0.4/",0
"1539",0.05,"line",-0.2,"P18","area",0,0,38,"img_validation/line/area/s0.05m-0.2/",1
"1540",0.15,"quad",-0.8,"P18","scatter",-0.04,0.04,39,"img/quad/scatter/s0.15m-0.8/",0
"1541",0.05,"trig",-0.4,"P18","scatter",0.01,0.01,40,"img/trig/scatter/s0.05m-0.4/",0
"1542",0.2,"quad",-0.2,"P18","area",-0.11,0.11,41,"img/quad/area/s0.2m-0.2/",0
"1543",0.2,"line",0.8,"P18","scatter",0.16,0.16,42,"img/line/scatter/s0.2m0.8/",0
"1544",0.15,"trig",0.2,"P18","area",0.09,0.09,43,"img/trig/area/s0.15m0.2/",0
"1545",0.2,"line",0.4,"P18","line",0.02,0.02,44,"img/line/line/s0.2m0.4/",0
"1546",0.15,"quad",0.1,"P18","line",0.19,0.19,45,"img/quad/line/s0.15m0.1/",0
"1547",0.2,"trig",0.8,"P18","line",0.02,0.02,46,"img/trig/line/s0.2m0.8/",0
"1548",0.15,"quad",0.4,"P18","line",-0.01,0.01,47,"img/quad/line/s0.15m0.4/",0
"1549",0.05,"line",-0.8,"P18","scatter",-0.02,0.02,48,"img/line/scatter/s0.05m-0.8/",0
"1550",0.05,"trig",-0.4,"P18","area",0,0,49,"img/trig/area/s0.05m-0.4/",0
"1551",0.1,"line",-0.2,"P18","scatter",-0.12,0.12,50,"img/line/scatter/s0.1m-0.2/",0
"1552",0.15,"quad",0.8,"P18","area",0.12,0.12,51,"img/quad/area/s0.15m0.8/",0
"1553",0.2,"trig",0.1,"P18","line",0.03,0.03,52,"img/trig/line/s0.2m0.1/",0
"1554",0.1,"quad",-0.8,"P18","scatter",-0.05,0.05,53,"img/quad/scatter/s0.1m-0.8/",0
"1555",0.2,"line",-0.8,"P18","line",0.05,0.05,54,"img/line/line/s0.2m-0.8/",0
"1556",0.2,"trig",0.1,"P18","area",0.02,0.02,55,"img/trig/area/s0.2m0.1/",0
"1557",0.05,"line",-0.2,"P18","area",-0.03,0.03,56,"img/line/area/s0.05m-0.2/",0
"1558",0.02,"line",0.8,"P18","area",-0.01,0.01,57,"img_validation/line/area/s0.2m0.8/",1
"1559",0.2,"quad",-0.2,"P18","scatter",-0.17,0.17,58,"img/quad/scatter/s0.2m-0.2/",0
"1560",0.1,"trig",-0.4,"P18","scatter",-0.01,0.01,59,"img/trig/scatter/s0.1m-0.4/",0
"1561",0.2,"quad",0.8,"P18","area",0.09,0.09,60,"img/quad/area/s0.2m0.8/",0
"1562",0.15,"line",-0.2,"P18","scatter",-0.11,0.11,61,"img/line/scatter/s0.15m-0.2/",0
"1563",0.1,"trig",-0.8,"P18","line",-0.02,0.02,62,"img/trig/line/s0.1m-0.8/",0
"1564",0.1,"line",0.2,"P18","line",0.04,0.04,63,"img/line/line/s0.1m0.2/",0
"1565",0.1,"quad",-0.8,"P18","area",-0.05,0.05,64,"img/quad/area/s0.1m-0.8/",0
"1566",0.05,"trig",-0.4,"P18","line",0.01,0.01,65,"img/trig/line/s0.05m-0.4/",0
