Sigma, Type, M, Participant, Graph Type, Error, Error (unsigned), Index, Filepath, isValidation
0.05,quad,-0.8,P17,line,-0.03,0.03,0,img/quad/line/s0.05m-0.8/,0
0.05,trig,0.2,P17,area,0.04,0.04,1,img/trig/area/s0.05m0.2/,0
0.1,line,-0.1,P17,area,0.01,0.01,2,img/line/area/s0.1m-0.1/,0
0.05,trig,-0.1,P17,area,-0.1,0.1,3,img/trig/area/s0.05m-0.1/,0
0.1,quad,0.1,P17,line,0.1,0.1,4,img/quad/line/s0.1m0.1/,0
0.15,line,0.2,P17,scatter,0.05,0.05,5,img/line/scatter/s0.15m0.2/,0
0.2,quad,-0.1,P17,area,-0.18,0.18,6,img/quad/area/s0.2m-0.1/,0
0.2,trig,0.2,P17,scatter,-0.07,0.07,7,img/trig/scatter/s0.2m0.2/,0
0.05,line,0.1,P17,scatter,0.03,0.03,8,img/line/scatter/s0.05m0.1/,0
0.05,trig,-0.1,P17,line,-0.07,0.07,9,img/trig/line/s0.05m-0.1/,0
0.05,quad,0.1,P17,line,0.03,0.03,10,img/quad/line/s0.05m0.1/,0
0.15,line,0.4,P17,scatter,0.14,0.14,11,img/line/scatter/s0.15m0.4/,0
0.2,quad,-0.1,P17,line,-0.14,0.14,12,img/quad/line/s0.2m-0.1/,0
0.1,trig,0.1,P17,area,0.06,0.06,13,img/trig/area/s0.1m0.1/,0
0.1,line,-0.2,P17,area,-0.06,0.06,14,img/line/area/s0.1m-0.2/,0
0.2,trig,-0.4,P17,line,0.01,0.01,15,img/trig/line/s0.2m-0.4/,0
0.2,quad,-0.2,P17,line,-0.18,0.18,16,img/quad/line/s0.2m-0.2/,0
0.05,line,0.2,P17,scatter,0.04,0.04,17,img/line/scatter/s0.05m0.2/,0
0.1,quad,-0.1,P17,line,-0.07,0.07,18,img/quad/line/s0.1m-0.1/,0
0.02,line,0.8,P17,area,-0.01,0.01,19,img_validation/line/area/s0.2m0.8/,1
0.1,trig,0.2,P17,scatter,0.22,0.22,20,img/trig/scatter/s0.1m0.2/,0
