Sigma, Type, M, Participant, Graph Type, Error, Error (unsigned), Index, Filepath, isValidation
0.2,line,-0.8,P17,scatter,-0.26,0.26,21,img/line/scatter/s0.2m-0.8/,0
0.15,trig,-0.8,P17,line,-0.05,0.05,22,img/trig/line/s0.15m-0.8/,0
0.05,quad,0.8,P17,scatter,0.05,0.05,23,img/quad/scatter/s0.05m0.8/,0
0.05,line,-0.8,P17,area,0,0,24,img/line/area/s0.05m-0.8/,0
0.15,quad,-0.8,P17,area,-0.03,0.03,25,img/quad/area/s0.15m-0.8/,0
0.1,trig,0.8,P17,scatter,0.01,0.01,26,img/trig/scatter/s0.1m0.8/,0
0.05,line,0.8,P17,line,0.05,0.05,27,img/line/line/s0.05m0.8/,0
0.1,trig,0.2,P17,area,0.13,0.13,28,img/trig/area/s0.1m0.2/,0
0.2,quad,-0.8,P17,area,-0.03,0.03,29,img/quad/area/s0.2m-0.8/,0
0.1,line,0.8,P17,area,-0.01,0.01,30,img/line/area/s0.1m0.8/,0
0.1,quad,-0.2,P17,line,-0.02,0.02,31,img/quad/line/s0.1m-0.2/,0
0.15,trig,-0.1,P17,area,-0.05,0.05,32,img/trig/area/s0.15m-0.1/,0
0.2,line,0.4,P17,scatter,0.31,0.31,33,img/line/scatter/s0.2m0.4/,0
0.05,trig,0.2,P17,line,0.05,0.05,34,img/trig/line/s0.05m0.2/,0
0.15,quad,-0.4,P17,area,-0.03,0.03,35,img/quad/area/s0.15m-0.4/,0
0.1,line,0.4,P17,area,0.03,0.03,36,img/line/area/s0.1m0.4/,0
0.1,quad,0.4,P17,line,0.02,0.02,37,img/quad/line/s0.1m0.4/,0
0.05,line,-0.2,P17,area,-0.01,0.01,38,img_validation/line/area/s0.05m-0.2/,1
0.15,trig,-0.8,P17,scatter,-0.12,0.12,39,img/trig/scatter/s0.15m-0.8/,0
0.05,line,-0.4,P17,scatter,-0.02,0.02,40,img/line/scatter/s0.05m-0.4/,0
0.2,trig,-0.2,P17,area,-0.16,0.16,41,img/trig/area/s0.2m-0.2/,0
0.2,quad,0.8,P17,scatter,0.15,0.15,42,img/quad/scatter/s0.2m0.8/,0
0.15,line,0.2,P17,area,0.03,0.03,43,img/line/area/s0.15m0.2/,0
0.2,quad,0.4,P17,line,0.12,0.12,44,img/quad/line/s0.2m0.4/,0
0.15,trig,0.1,P17,line,0.08,0.08,45,img/trig/line/s0.15m0.1/,0
0.2,line,0.8,P17,line,-0.01,0.01,46,img/line/line/s0.2m0.8/,0
0.15,trig,0.4,P17,line,0.07,0.07,47,img/trig/line/s0.15m0.4/,0
0.05,quad,-0.8,P17,scatter,0.02,0.02,48,img/quad/scatter/s0.05m-0.8/,0
0.05,line,-0.4,P17,area,0.01,0.01,49,img/line/area/s0.05m-0.4/,0
0.1,quad,-0.2,P17,scatter,-0.08,0.08,50,img/quad/scatter/s0.1m-0.2/,0
0.15,trig,0.8,P17,area,0.12,0.12,51,img/trig/area/s0.15m0.8/,0
0.2,line,0.1,P17,line,0.07,0.07,52,img/line/line/s0.2m0.1/,0
0.1,trig,-0.8,P17,scatter,-0.05,0.05,53,img/trig/scatter/s0.1m-0.8/,0
0.2,quad,-0.8,P17,line,0.04,0.04,54,img/quad/line/s0.2m-0.8/,0
0.2,line,0.1,P17,area,-0.07,0.07,55,img/line/area/s0.2m0.1/,0
0.05,quad,-0.2,P17,area,0.02,0.02,56,img/quad/area/s0.05m-0.2/,0
0.05,line,-0.2,P17,area,0.01,0.01,57,img_validation/line/area/s0.05m-0.2/,1
0.2,trig,-0.2,P17,scatter,-0.13,0.13,58,img/trig/scatter/s0.2m-0.2/,0
0.1,line,-0.4,P17,scatter,-0.06,0.06,59,img/line/scatter/s0.1m-0.4/,0
0.2,trig,0.8,P17,area,-0.03,0.03,60,img/trig/area/s0.2m0.8/,0
0.15,quad,-0.2,P17,scatter,-0.05,0.05,61,img/quad/scatter/s0.15m-0.2/,0
0.1,line,-0.8,P17,line,0.07,0.07,62,img/line/line/s0.1m-0.8/,0
0.1,quad,0.2,P17,line,0.13,0.13,63,img/quad/line/s0.1m0.2/,0
0.1,trig,-0.8,P17,area,0.03,0.03,64,img/trig/area/s0.1m-0.8/,0
0.05,line,-0.4,P17,line,0,0,65,img/line/line/s0.05m-0.4/,0
0.05,trig,-0.1,P17,scatter,-0.02,0.02,66,img/trig/scatter/s0.05m-0.1/,0
0.1,quad,-0.1,P17,scatter,0.01,0.01,67,img/quad/scatter/s0.1m-0.1/,0
0.15,line,0.2,P17,line,0,0,68,img/line/line/s0.15m0.2/,0
0.05,quad,0.4,P17,area,-0.02,0.02,69,img/quad/area/s0.05m0.4/,0
0.15,trig,0.8,P17,scatter,0.15,0.15,70,img/trig/scatter/s0.15m0.8/,0
0.1,line,-0.4,P17,line,0,0,71,img/line/line/s0.1m-0.4/,0
0.15,trig,-0.4,P17,line,-0.09,0.09,72,img/trig/line/s0.15m-0.4/,0
0.1,quad,-0.4,P17,area,0.06,0.06,73,img/quad/area/s0.1m-0.4/,0
0.2,line,0.2,P17,area,0.17,0.17,74,img/line/area/s0.2m0.2/,0
0.15,quad,0.1,P17,area,0.02,0.02,75,img/quad/area/s0.15m0.1/,0
0.01,line,-0.4,P17,area,-0.05,0.05,76,img_validation/line/area/s0.1m-0.4/,1
0.2,trig,-0.4,P17,area,-0.16,0.16,77,img/trig/area/s0.2m-0.4/,0
0.1,line,0.8,P17,line,0,0,78,img/line/line/s0.1m0.8/,0
0.15,trig,0.1,P17,scatter,0.37,0.37,79,img/trig/scatter/s0.15m0.1/,0
0.2,quad,0.1,P17,scatter,0.03,0.03,80,img/quad/scatter/s0.2m0.1/,0
0.2,line,-0.1,P17,scatter,0.29,0.29,81,img/line/scatter/s0.2m-0.1/,0
0.05,quad,-0.2,P17,scatter,-0.01,0.01,82,img/quad/scatter/s0.05m-0.2/,0
0.15,trig,-0.1,P17,line,0.23,0.23,83,img/trig/line/s0.15m-0.1/,0
0.05,line,0.4,P17,line,0,0,84,img/line/line/s0.05m0.4/,0
0.15,trig,-0.2,P17,area,-0.11,0.11,85,img/trig/area/s0.15m-0.2/,0
0.05,quad,-0.2,P17,line,-0.03,0.03,86,img/quad/line/s0.05m-0.2/,0
0.05,line,0.4,P17,scatter,-0.01,0.01,87,img/line/scatter/s0.05m0.4/,0
0.15,quad,-0.1,P17,scatter,-0.16,0.16,88,img/quad/scatter/s0.15m-0.1/,0
0.15,trig,0.8,P17,line,0.03,0.03,89,img/trig/line/s0.15m0.8/,0
0.1,line,0.4,P17,scatter,0.13,0.13,90,img/line/scatter/s0.1m0.4/,0
0.15,trig,0.4,P17,area,0,0,91,img/trig/area/s0.15m0.4/,0
0.05,quad,0.8,P17,area,0.02,0.02,92,img/quad/area/s0.05m0.8/,0
0.15,line,-0.4,P17,scatter,-0.05,0.05,93,img/line/scatter/s0.15m-0.4/,0
0.2,quad,0.4,P17,area,0.14,0.14,94,img/quad/area/s0.2m0.4/,0
0.1,trig,0.1,P17,scatter,-0.05,0.05,95,img/trig/scatter/s0.1m0.1/,0
0.05,line,0.1,P17,area,0.02,0.02,96,img/line/area/s0.05m0.1/,0
0.15,trig,-0.2,P17,line,-0.1,0.1,97,img/trig/line/s0.15m-0.2/,0
0.2,quad,0.2,P17,line,0.07,0.07,98,img/quad/line/s0.2m0.2/,0
0.2,line,-0.4,P17,scatter,0.12,0.12,99,img/line/scatter/s0.2m-0.4/,0
