Sigma, Type, M, Participant, Graph Type, Error, Error (unsigned), Index, Filepath, isValidation
0.1,trig,-0.1,P7,scatter,-0.02,0.02,67,img/trig/scatter/s0.1m-0.1/,0
0.15,quad,0.2,P7,line,-0.03,0.03,68,img/quad/line/s0.15m0.2/,0
0.05,trig,0.4,P7,area,0.01,0.01,69,img/trig/area/s0.05m0.4/,0
0.15,line,0.8,P7,scatter,-0.07,0.07,70,img/line/scatter/s0.15m0.8/,0
0.1,quad,-0.4,P7,line,-0.01,0.01,71,img/quad/line/s0.1m-0.4/,0
0.15,line,-0.4,P7,line,0.08,0.08,72,img/line/line/s0.15m-0.4/,0
0.1,trig,-0.4,P7,area,-0.02,0.02,73,img/trig/area/s0.1m-0.4/,0
0.2,quad,0.2,P7,area,0.18,0.18,74,img/quad/area/s0.2m0.2/,0
0.15,trig,0.1,P7,area,-0.01,0.01,75,img/trig/area/s0.15m0.1/,0
0.02,line,0.8,P7,area,0,0,76,img_validation/line/area/s0.2m0.8/,1
0.2,line,-0.4,P7,area,-0.04,0.04,77,img/line/area/s0.2m-0.4/,0
0.1,quad,0.8,P7,line,0.07,0.07,78,img/quad/line/s0.1m0.8/,0
0.15,line,0.1,P7,scatter,-0.01,0.01,79,img/line/scatter/s0.15m0.1/,0
0.2,trig,0.1,P7,scatter,0.01,0.01,80,img/trig/scatter/s0.2m0.1/,0
0.2,quad,-0.1,P7,scatter,-0.01,0.01,81,img/quad/scatter/s0.2m-0.1/,0
0.05,trig,-0.2,P7,scatter,0,0,82,img/trig/scatter/s0.05m-0.2/,0
0.15,line,-0.1,P7,line,0,0,83,img/line/line/s0.15m-0.1/,0
0.05,quad,0.4,P7,line,0.06,0.06,84,img/quad/line/s0.05m0.4/,0
0.15,line,-0.2,P7,area,0.11,0.11,85,img/line/area/s0.15m-0.2/,0
0.05,trig,-0.2,P7,line,-0.07,0.07,86,img/trig/line/s0.05m-0.2/,0
0.05,quad,0.4,P7,scatter,0.03,0.03,87,img/quad/scatter/s0.05m0.4/,0
0.15,trig,-0.1,P7,scatter,-0.13,0.13,88,img/trig/scatter/s0.15m-0.1/,0
0.15,line,0.8,P7,line,0.03,0.03,89,img/line/line/s0.15m0.8/,0
0.1,quad,0.4,P7,scatter,0.01,0.01,90,img/quad/scatter/s0.1m0.4/,0
0.15,line,0.4,P7,area,-0.01,0.01,91,img/line/area/s0.15m0.4/,0
0.05,trig,0.8,P7,area,0.01,0.01,92,img/trig/area/s0.05m0.8/,0
0.15,quad,-0.4,P7,scatter,-0.1,0.1,93,img/quad/scatter/s0.15m-0.4/,0
0.2,trig,0.4,P7,area,0.09,0.09,94,img/trig/area/s0.2m0.4/,0
0.1,line,0.1,P7,scatter,0.04,0.04,95,img/line/scatter/s0.1m0.1/,0
0.05,quad,0.1,P7,area,-0.02,0.02,96,img/quad/area/s0.05m0.1/,0
0.15,line,-0.2,P7,line,0.04,0.04,97,img/line/line/s0.15m-0.2/,0
0.2,trig,0.2,P7,line,-0.1,0.1,98,img/trig/line/s0.2m0.2/,0
0.2,quad,-0.4,P7,scatter,0.18,0.18,99,img/quad/scatter/s0.2m-0.4/,0
