Sigma, Type, M, Participant, Graph Type, Error, Error (unsigned), Index, Filepath, isValidation
0.05,quad,-0.8,P5,line,-0.03,0.03,0,img/quad/line/s0.05m-0.8/,0
0.05,trig,0.2,P5,area,0.1,0.1,1,img/trig/area/s0.05m0.2/,0
0.1,line,-0.1,P5,area,0.09,0.09,2,img/line/area/s0.1m-0.1/,0
0.05,trig,-0.1,P5,area,-0.01,0.01,3,img/trig/area/s0.05m-0.1/,0
0.1,quad,0.1,P5,line,0.13,0.13,4,img/quad/line/s0.1m0.1/,0
0.15,line,0.2,P5,scatter,0.27,0.27,5,img/line/scatter/s0.15m0.2/,0
0.2,quad,-0.1,P5,area,0.02,0.02,6,img/quad/area/s0.2m-0.1/,0
0.2,trig,0.2,P5,scatter,0.27,0.27,7,img/trig/scatter/s0.2m0.2/,0
0.05,line,0.1,P5,scatter,-0.01,0.01,8,img/line/scatter/s0.05m0.1/,0
0.05,trig,-0.1,P5,line,0.03,0.03,9,img/trig/line/s0.05m-0.1/,0
0.05,quad,0.1,P5,line,0.02,0.02,10,img/quad/line/s0.05m0.1/,0
0.15,line,0.4,P5,scatter,0.29,0.29,11,img/line/scatter/s0.15m0.4/,0
0.2,quad,-0.1,P5,line,0.04,0.04,12,img/quad/line/s0.2m-0.1/,0
0.1,trig,0.1,P5,area,0.11,0.11,13,img/trig/area/s0.1m0.1/,0
0.1,line,-0.2,P5,area,-0.06,0.06,14,img/line/area/s0.1m-0.2/,0
0.2,trig,-0.4,P5,line,-0.14,0.14,15,img/trig/line/s0.2m-0.4/,0
0.2,quad,-0.2,P5,line,0.04,0.04,16,img/quad/line/s0.2m-0.2/,0
0.05,line,0.2,P5,scatter,0.09,0.09,17,img/line/scatter/s0.05m0.2/,0
0.1,quad,-0.1,P5,line,-0.03,0.03,18,img/quad/line/s0.1m-0.1/,0
0.02,line,0.8,P5,area,0,0,19,img_validation/line/area/s0.2m0.8/,1
0.1,trig,0.2,P5,scatter,0.14,0.14,20,img/trig/scatter/s0.1m0.2/,0
0.2,line,-0.8,P5,scatter,-0.11,0.11,21,img/line/scatter/s0.2m-0.8/,0
0.15,trig,-0.8,P5,line,-0.02,0.02,22,img/trig/line/s0.15m-0.8/,0
0.05,quad,0.8,P5,scatter,0.01,0.01,23,img/quad/scatter/s0.05m0.8/,0
0.05,line,-0.8,P5,area,0.01,0.01,24,img/line/area/s0.05m-0.8/,0
0.15,quad,-0.8,P5,area,0.03,0.03,25,img/quad/area/s0.15m-0.8/,0
0.1,trig,0.8,P5,scatter,-0.06,0.06,26,img/trig/scatter/s0.1m0.8/,0
0.05,line,0.8,P5,line,-0.04,0.04,27,img/line/line/s0.05m0.8/,0
0.1,trig,0.2,P5,area,0.02,0.02,28,img/trig/area/s0.1m0.2/,0
0.2,quad,-0.8,P5,area,-0.02,0.02,29,img/quad/area/s0.2m-0.8/,0
0.1,line,0.8,P5,area,0,0,30,img/line/area/s0.1m0.8/,0
0.1,quad,-0.2,P5,line,-0.07,0.07,31,img/quad/line/s0.1m-0.2/,0
0.15,trig,-0.1,P5,area,0.17,0.17,32,img/trig/area/s0.15m-0.1/,0
0.2,line,0.4,P5,scatter,0.18,0.18,33,img/line/scatter/s0.2m0.4/,0
0.05,trig,0.2,P5,line,0,0,34,img/trig/line/s0.05m0.2/,0
0.15,quad,-0.4,P5,area,-0.06,0.06,35,img/quad/area/s0.15m-0.4/,0
0.1,line,0.4,P5,area,0.09,0.09,36,img/line/area/s0.1m0.4/,0
0.1,quad,0.4,P5,line,0.07,0.07,37,img/quad/line/s0.1m0.4/,0
0.02,line,0.8,P5,area,0,0,38,img_validation/line/area/s0.2m0.8/,1
0.15,trig,-0.8,P5,scatter,-0.11,0.11,39,img/trig/scatter/s0.15m-0.8/,0
0.05,line,-0.4,P5,scatter,-0.06,0.06,40,img/line/scatter/s0.05m-0.4/,0
0.2,trig,-0.2,P5,area,0.05,0.05,41,img/trig/area/s0.2m-0.2/,0
0.2,quad,0.8,P5,scatter,0.12,0.12,42,img/quad/scatter/s0.2m0.8/,0
0.15,line,0.2,P5,area,0.05,0.05,43,img/line/area/s0.15m0.2/,0
0.2,quad,0.4,P5,line,0.16,0.16,44,img/quad/line/s0.2m0.4/,0
0.15,trig,0.1,P5,line,0.14,0.14,45,img/trig/line/s0.15m0.1/,0
0.2,line,0.8,P5,line,0.21,0.21,46,img/line/line/s0.2m0.8/,0
0.15,trig,0.4,P5,line,-0.03,0.03,47,img/trig/line/s0.15m0.4/,0
0.05,quad,-0.8,P5,scatter,-0.02,0.02,48,img/quad/scatter/s0.05m-0.8/,0
0.05,line,-0.4,P5,area,0.02,0.02,49,img/line/area/s0.05m-0.4/,0
0.1,quad,-0.2,P5,scatter,-0.13,0.13,50,img/quad/scatter/s0.1m-0.2/,0
0.15,trig,0.8,P5,area,0,0,51,img/trig/area/s0.15m0.8/,0
0.2,line,0.1,P5,line,-0.07,0.07,52,img/line/line/s0.2m0.1/,0
0.1,trig,-0.8,P5,scatter,-0.04,0.04,53,img/trig/scatter/s0.1m-0.8/,0
0.2,quad,-0.8,P5,line,-0.18,0.18,54,img/quad/line/s0.2m-0.8/,0
0.2,line,0.1,P5,area,-0.04,0.04,55,img/line/area/s0.2m0.1/,0
0.05,quad,-0.2,P5,area,0,0,56,img/quad/area/s0.05m-0.2/,0
0.01,line,-0.4,P5,area,0.03,0.03,57,img_validation/line/area/s0.1m-0.4/,1
0.2,trig,-0.2,P5,scatter,-0.19,0.19,58,img/trig/scatter/s0.2m-0.2/,0
0.1,line,-0.4,P5,scatter,-0.12,0.12,59,img/line/scatter/s0.1m-0.4/,0
0.2,trig,0.8,P5,area,0.05,0.05,60,img/trig/area/s0.2m0.8/,0
0.15,quad,-0.2,P5,scatter,-0.14,0.14,61,img/quad/scatter/s0.15m-0.2/,0
0.1,line,-0.8,P5,line,-0.01,0.01,62,img/line/line/s0.1m-0.8/,0
0.1,quad,0.2,P5,line,0.03,0.03,63,img/quad/line/s0.1m0.2/,0
0.1,trig,-0.8,P5,area,0.02,0.02,64,img/trig/area/s0.1m-0.8/,0
0.05,line,-0.4,P5,line,-0.02,0.02,65,img/line/line/s0.05m-0.4/,0
0.05,trig,-0.1,P5,scatter,-0.02,0.02,66,img/trig/scatter/s0.05m-0.1/,0
0.1,quad,-0.1,P5,scatter,-0.07,0.07,67,img/quad/scatter/s0.1m-0.1/,0
0.15,line,0.2,P5,line,0.12,0.12,68,img/line/line/s0.15m0.2/,0
0.05,quad,0.4,P5,area,0.07,0.07,69,img/quad/area/s0.05m0.4/,0
0.15,trig,0.8,P5,scatter,0.14,0.14,70,img/trig/scatter/s0.15m0.8/,0
0.1,line,-0.4,P5,line,0.04,0.04,71,img/line/line/s0.1m-0.4/,0
