Sigma, Type, M, Participant, Graph Type, Error, Error (unsigned), Index, Filepath, isValidation
0.1,trig,0.4,P18,scatter,0.06,0.06,90,img/trig/scatter/s0.1m0.4/,0
0.15,quad,0.4,P18,area,0.15,0.15,91,img/quad/area/s0.15m0.4/,0
0.05,line,0.8,P18,area,0,0,92,img/line/area/s0.05m0.8/,0
0.15,trig,-0.4,P18,scatter,-0.07,0.07,93,img/trig/scatter/s0.15m-0.4/,0
0.2,line,0.4,P18,area,0.07,0.07,94,img/line/area/s0.2m0.4/,0
0.1,quad,0.1,P18,scatter,0.11,0.11,95,img/quad/scatter/s0.1m0.1/,0
0.05,trig,0.1,P18,area,0.01,0.01,96,img/trig/area/s0.05m0.1/,0
0.15,quad,-0.2,P18,line,-0.08,0.08,97,img/quad/line/s0.15m-0.2/,0
0.2,line,0.2,P18,line,0.12,0.12,98,img/line/line/s0.2m0.2/,0
0.2,trig,-0.4,P18,scatter,-0.11,0.11,99,img/trig/scatter/s0.2m-0.4/,0
