Sigma, Type, M, Participant, Graph Type, Error, Error (unsigned), Index, Filepath, isValidation
0.05,line,-0.8,P18,line,-0.01,0.01,0,img/line/line/s0.05m-0.8/,0
0.05,quad,0.2,P18,area,0.06,0.06,1,img/quad/area/s0.05m0.2/,0
0.1,trig,-0.1,P18,area,-0.09,0.09,2,img/trig/area/s0.1m-0.1/,0
0.05,quad,-0.1,P18,area,0,0,3,img/quad/area/s0.05m-0.1/,0
0.1,line,0.1,P18,line,0.08,0.08,4,img/line/line/s0.1m0.1/,0
0.15,trig,0.2,P18,scatter,0.12,0.12,5,img/trig/scatter/s0.15m0.2/,0
0.2,line,-0.1,P18,area,-0.1,0.1,6,img/line/area/s0.2m-0.1/,0
0.2,quad,0.2,P18,scatter,0.23,0.23,7,img/quad/scatter/s0.2m0.2/,0
0.05,trig,0.1,P18,scatter,0,0,8,img/trig/scatter/s0.05m0.1/,0
0.05,quad,-0.1,P18,line,-0.03,0.03,9,img/quad/line/s0.05m-0.1/,0
0.05,line,0.1,P18,line,0.03,0.03,10,img/line/line/s0.05m0.1/,0
0.15,trig,0.4,P18,scatter,0.17,0.17,11,img/trig/scatter/s0.15m0.4/,0
0.2,line,-0.1,P18,line,-0.12,0.12,12,img/line/line/s0.2m-0.1/,0
0.1,quad,0.1,P18,area,0.1,0.1,13,img/quad/area/s0.1m0.1/,0
0.1,trig,-0.2,P18,area,0,0,14,img/trig/area/s0.1m-0.2/,0
0.2,quad,-0.4,P18,line,0.03,0.03,15,img/quad/line/s0.2m-0.4/,0
0.2,line,-0.2,P18,line,-0.05,0.05,16,img/line/line/s0.2m-0.2/,0
0.05,trig,0.2,P18,scatter,0,0,17,img/trig/scatter/s0.05m0.2/,0
0.1,line,-0.1,P18,line,-0.06,0.06,18,img/line/line/s0.1m-0.1/,0
0.02,line,0.8,P18,area,0,0,19,img_validation/line/area/s0.2m0.8/,1
0.1,quad,0.2,P18,scatter,0.02,0.02,20,img/quad/scatter/s0.1m0.2/,0
0.2,trig,-0.8,P18,scatter,0,0,21,img/trig/scatter/s0.2m-0.8/,0
0.15,quad,-0.8,P18,line,0,0,22,img/quad/line/s0.15m-0.8/,0
0.05,line,0.8,P18,scatter,0.01,0.01,23,img/line/scatter/s0.05m0.8/,0
0.05,trig,-0.8,P18,area,-0.02,0.02,24,img/trig/area/s0.05m-0.8/,0
0.15,line,-0.8,P18,area,-0.09,0.09,25,img/line/area/s0.15m-0.8/,0
0.1,quad,0.8,P18,scatter,0.03,0.03,26,img/quad/scatter/s0.1m0.8/,0
0.05,trig,0.8,P18,line,0.02,0.02,27,img/trig/line/s0.05m0.8/,0
0.1,quad,0.2,P18,area,0.11,0.11,28,img/quad/area/s0.1m0.2/,0
0.2,line,-0.8,P18,area,0.03,0.03,29,img/line/area/s0.2m-0.8/,0
0.1,trig,0.8,P18,area,0.03,0.03,30,img/trig/area/s0.1m0.8/,0
0.1,line,-0.2,P18,line,-0.06,0.06,31,img/line/line/s0.1m-0.2/,0
0.15,quad,-0.1,P18,area,0,0,32,img/quad/area/s0.15m-0.1/,0
0.2,trig,0.4,P18,scatter,0.1,0.1,33,img/trig/scatter/s0.2m0.4/,0
0.05,quad,0.2,P18,line,0.01,0.01,34,img/quad/line/s0.05m0.2/,0
0.15,line,-0.4,P18,area,0.03,0.03,35,img/line/area/s0.15m-0.4/,0
0.1,trig,0.4,P18,area,-0.02,0.02,36,img/trig/area/s0.1m0.4/,0
0.1,line,0.4,P18,line,0.03,0.03,37,img/line/line/s0.1m0.4/,0
0.05,line,-0.2,P18,area,0,0,38,img_validation/line/area/s0.05m-0.2/,1
0.15,quad,-0.8,P18,scatter,-0.04,0.04,39,img/quad/scatter/s0.15m-0.8/,0
0.05,trig,-0.4,P18,scatter,0.01,0.01,40,img/trig/scatter/s0.05m-0.4/,0
0.2,quad,-0.2,P18,area,-0.11,0.11,41,img/quad/area/s0.2m-0.2/,0
0.2,line,0.8,P18,scatter,0.16,0.16,42,img/line/scatter/s0.2m0.8/,0
0.15,trig,0.2,P18,area,0.09,0.09,43,img/trig/area/s0.15m0.2/,0
0.2,line,0.4,P18,line,0.02,0.02,44,img/line/line/s0.2m0.4/,0
0.15,quad,0.1,P18,line,0.19,0.19,45,img/quad/line/s0.15m0.1/,0
0.2,trig,0.8,P18,line,0.02,0.02,46,img/trig/line/s0.2m0.8/,0
0.15,quad,0.4,P18,line,-0.01,0.01,47,img/quad/line/s0.15m0.4/,0
0.05,line,-0.8,P18,scatter,-0.02,0.02,48,img/line/scatter/s0.05m-0.8/,0
0.05,trig,-0.4,P18,area,0,0,49,img/trig/area/s0.05m-0.4/,0
0.1,line,-0.2,P18,scatter,-0.12,0.12,50,img/line/scatter/s0.1m-0.2/,0
0.15,quad,0.8,P18,area,0.12,0.12,51,img/quad/area/s0.15m0.8/,0
0.2,trig,0.1,P18,line,0.03,0.03,52,img/trig/line/s0.2m0.1/,0
0.1,quad,-0.8,P18,scatter,-0.05,0.05,53,img/quad/scatter/s0.1m-0.8/,0
0.2,line,-0.8,P18,line,0.05,0.05,54,img/line/line/s0.2m-0.8/,0
0.2,trig,0.1,P18,area,0.02,0.02,55,img/trig/area/s0.2m0.1/,0
0.05,line,-0.2,P18,area,-0.03,0.03,56,img/line/area/s0.05m-0.2/,0
0.02,line,0.8,P18,area,-0.01,0.01,57,img_validation/line/area/s0.2m0.8/,1
0.2,quad,-0.2,P18,scatter,-0.17,0.17,58,img/quad/scatter/s0.2m-0.2/,0
0.1,trig,-0.4,P18,scatter,-0.01,0.01,59,img/trig/scatter/s0.1m-0.4/,0
0.2,quad,0.8,P18,area,0.09,0.09,60,img/quad/area/s0.2m0.8/,0
0.15,line,-0.2,P18,scatter,-0.11,0.11,61,img/line/scatter/s0.15m-0.2/,0
0.1,trig,-0.8,P18,line,-0.02,0.02,62,img/trig/line/s0.1m-0.8/,0
0.1,line,0.2,P18,line,0.04,0.04,63,img/line/line/s0.1m0.2/,0
0.1,quad,-0.8,P18,area,-0.05,0.05,64,img/quad/area/s0.1m-0.8/,0
0.05,trig,-0.4,P18,line,0.01,0.01,65,img/trig/line/s0.05m-0.4/,0
0.05,quad,-0.1,P18,scatter,0,0,66,img/quad/scatter/s0.05m-0.1/,0
0.1,line,-0.1,P18,scatter,-0.09,0.09,67,img/line/scatter/s0.1m-0.1/,0
0.15,trig,0.2,P18,line,0.05,0.05,68,img/trig/line/s0.15m0.2/,0
0.05,line,0.4,P18,area,0.02,0.02,69,img/line/area/s0.05m0.4/,0
0.15,quad,0.8,P18,scatter,0.1,0.1,70,img/quad/scatter/s0.15m0.8/,0
0.1,trig,-0.4,P18,line,0.01,0.01,71,img/trig/line/s0.1m-0.4/,0
0.15,quad,-0.4,P18,line,-0.11,0.11,72,img/quad/line/s0.15m-0.4/,0
0.1,line,-0.4,P18,area,0.06,0.06,73,img/line/area/s0.1m-0.4/,0
0.2,trig,0.2,P18,area,0.1,0.1,74,img/trig/area/s0.2m0.2/,0
0.15,line,0.1,P18,area,-0.03,0.03,75,img/line/area/s0.15m0.1/,0
0.01,line,-0.4,P18,area,0.01,0.01,76,img_validation/line/area/s0.1m-0.4/,1
0.2,quad,-0.4,P18,area,0.11,0.11,77,img/quad/area/s0.2m-0.4/,0
0.1,trig,0.8,P18,line,0,0,78,img/trig/line/s0.1m0.8/,0
0.15,quad,0.1,P18,scatter,0.02,0.02,79,img/quad/scatter/s0.15m0.1/,0
0.2,line,0.1,P18,scatter,0.08,0.08,80,img/line/scatter/s0.2m0.1/,0
0.2,trig,-0.1,P18,scatter,-0.19,0.19,81,img/trig/scatter/s0.2m-0.1/,0
0.05,line,-0.2,P18,scatter,0.03,0.03,82,img/line/scatter/s0.05m-0.2/,0
0.15,quad,-0.1,P18,line,-0.06,0.06,83,img/quad/line/s0.15m-0.1/,0
0.05,trig,0.4,P18,line,-0.01,0.01,84,img/trig/line/s0.05m0.4/,0
0.15,quad,-0.2,P18,area,-0.02,0.02,85,img/quad/area/s0.15m-0.2/,0
0.05,line,-0.2,P18,line,0,0,86,img/line/line/s0.05m-0.2/,0
0.05,trig,0.4,P18,scatter,0.01,0.01,87,img/trig/scatter/s0.05m0.4/,0
0.15,line,-0.1,P18,scatter,-0.11,0.11,88,img/line/scatter/s0.15m-0.1/,0
0.15,quad,0.8,P18,line,0.05,0.05,89,img/quad/line/s0.15m0.8/,0
